time,major_location,setting,locale,int_or_ext,flow_of_time,time_of_day
0,Paramount,mountain logo,mountain logo,ext,0,day
17,Savannah,sky over Savannah,sky over Savannah,ext,++,day
168.08,Savannah,bench at bus stop,bench at bus stop,ext,0,day
272.2,Greenbow Alabama,doctor's office,doctor's office,int,-,day
286.32,Greenbow Alabama,doctor's office,doctor's office,int,0,day
300.56,Greenbow Alabama,doctor's office,doctor's office,int,0,day
311.96,Greenbow Alabama,main street,crossroads,ext,+,day
318.28,United States,flashback countryside,flashback countryside,ext,-,day
343.04,Greenbow Alabama,main street,in front of barbershop,ext,++,day
353.08,Greenbow Alabama,main street,in front of barbershop,ext,0,day
358.08,Greenbow Alabama,main street,in front of barbershop,ext,0,day
360.04,Greenbow Alabama,main street,in front of barbershop,ext,0,day
361.84,Greenbow Alabama,main street,in front of barbershop,ext,0,day
363.04,Greenbow Alabama,main street,in front of barbershop,ext,0,day
385.64,Gump property,access-road,at the mail boxes,ext,+,day
402.8,Gump property,access-road,alley to Gump House,ext,+,day
425.6,Gump property,Gump House,front of Gump House,ext,0,day
434.48,Greenbow Alabama,school,Hancock's office,int,++,day
438.56,Greenbow Alabama,school,Hancock's office,int,0,day
443.44,Greenbow Alabama,school,Hancock's office,int,0,day
447.76,Greenbow Alabama,school,school hallway,int,0,day
462.44,Greenbow Alabama,school,Hancock's office,int,0,day
466.84,Greenbow Alabama,school,Hancock's office,int,0,day
471.36,Greenbow Alabama,school,Hancock's office,int,0,day
475.52,Greenbow Alabama,school,Hancock's office,int,0,day
492.68,Greenbow Alabama,school,Hancock's office,int,0,day
496.08,Greenbow Alabama,school,Hancock's office,int,0,day
500.16,Greenbow Alabama,school,school hallway,int,0,day
507.68,Greenbow Alabama,school,Hancock's office,int,0,day
512.32,Greenbow Alabama,school,Hancock's office,int,0,day
516.88,Gump property,Gump House,front of Gump House,ext,++,night
522.24,Gump property,Gump House,front of Gump House,ext,0,night
526.76,Gump property,Gump House,front of Gump House,ext,+,night
555.72,Gump property,Gump House,Forrest's bedroom,int,+,night
586.48,Gump property,Gump House,front of Gump House,ext,++,day
594.84,Gump property,Gump House,corridor downstairs,int,0,day
612.08,Gump property,Gump House,corridor upstairs,int,+,day
630.4,Gump property,Gump House,Jenny's bedroom,int,0,day
632.48,Gump property,Gump House,Jenny's bedroom,int,0,day
633.64,Gump property,Gump House,Jenny's bedroom,int,0,day
636.36,Gump property,Gump House,Jenny's bedroom,int,0,day
656.88,Gump property,Gump House,Jenny's bedroom,int,0,day
659.44,Gump property,Gump House,Jenny's bedroom,int,0,day
669.56,Greenbow Alabama,main street,in front of electronic store,ext,++,night
675,Greenbow Alabama,main street,in front of electronic store,ext,0,night
679.8,Greenbow Alabama,main street,in front of electronic store,ext,0,night
681.56,Greenbow Alabama,main street,in front of electronic store,ext,0,night
686.2,Greenbow Alabama,main street,in front of electronic store,ext,0,night
692.52,Greenbow Alabama,main street,in front of electronic store,ext,0,night
702.56,Savannah,bench at bus stop,bench at bus stop,ext,++,day
712.68,Gump property,access-road,at the mail boxes,ext,-,day
721.36,Gump property,access-road,at the mail boxes,ext,0,day
727.44,Gump property,access-road,at the mail boxes,ext,0,day
730.08,Gump property,access-road,at the mail boxes,ext,0,day
732.88,Gump property,access-road,at the mail boxes,ext,0,day
738.44,Gump property,access-road,at the mail boxes,ext,0,day
740.68,Gump property,access-road,at the mail boxes,ext,0,day
743.08,Gump property,access-road,at the mail boxes,ext,0,day
745.16,Gump property,access-road,at the mail boxes,ext,0,day
752.24,Greenbow Alabama,school bus,inside driving bus,int,0,day
755.24,Greenbow Alabama,school bus,inside driving bus,int,0,day
757.88,Greenbow Alabama,school bus,inside driving bus,int,0,day
759.32,Greenbow Alabama,school bus,inside driving bus,int,0,day
760.64,Greenbow Alabama,school bus,inside driving bus,int,0,day
761.64,Greenbow Alabama,school bus,inside driving bus,int,0,day
770.24,Greenbow Alabama,school bus,inside driving bus,int,0,day
771.28,Greenbow Alabama,school bus,inside driving bus,int,0,day
778.52,Savannah,bench at bus stop,bench at bus stop,ext,++,day
791.04,Greenbow Alabama,school bus,inside driving bus,int,-,day
799.56,Greenbow Alabama,school bus,inside driving bus,int,0,day
801.76,Greenbow Alabama,school bus,inside driving bus,int,0,day
806.28,Greenbow Alabama,school bus,inside driving bus,int,0,day
808,Greenbow Alabama,school bus,inside driving bus,int,0,day
813.44,Greenbow Alabama,school bus,inside driving bus,int,0,day
829.32,Greenbow Alabama,school bus,inside driving bus,int,0,day
833.48,Greenbow Alabama,school bus,inside driving bus,int,0,day
836.96,Greenbow Alabama,school bus,inside driving bus,int,0,day
839.88,Greenbow Alabama,school bus,inside driving bus,int,0,day
847.32,Greenbow Alabama,tree on a field,tree on a field,ext,++,day
852.12,Greenbow Alabama,tree on a field,tree on a field,ext,+,day
857.2,Greenbow Alabama,tree on a field,tree on a field,ext,++,day
861.16,Greenbow Alabama,tree on a field,tree on a field,ext,+,day
865.2,Greenbow Alabama,tree on a field,tree on a field,ext,++,day
872.32,Greenbow Alabama,tree on a field,tree on a field,ext,0,day
886.08,Savannah,bench at bus stop,bench at bus stop,ext,++,day
891.16,Savannah,bench at bus stop,bench at bus stop,ext,0,day
899.8,Gump property,access-road,alley to Gump House,ext,-,day
901.8,Gump property,access-road,alley to Gump House,ext,0,day
902.96,Gump property,access-road,alley to Gump House,ext,0,day
904.88,Gump property,access-road,alley to Gump House,ext,0,day
906,Gump property,access-road,alley to Gump House,ext,0,day
907.96,Gump property,access-road,alley to Gump House,ext,0,day
909.04,Gump property,access-road,alley to Gump House,ext,0,day
910.48,Gump property,access-road,alley to Gump House,ext,0,day
911.28,Gump property,access-road,alley to Gump House,ext,0,day
912.72,Gump property,access-road,alley to Gump House,ext,0,day
914.8,Gump property,access-road,alley to Gump House,ext,0,day
916.4,Gump property,access-road,alley to Gump House,ext,0,day
919.96,Gump property,access-road,alley to Gump House,ext,0,day
924.88,Gump property,access-road,alley to Gump House,ext,0,day
928.16,Gump property,access-road,alley to Gump House,ext,0,day
931.16,Gump property,access-road,alley to Gump House,ext,0,day
932.56,Gump property,access-road,alley to Gump House,ext,0,day
933.92,Gump property,access-road,alley to Gump House,ext,0,day
935.56,Gump property,access-road,alley to Gump House,ext,0,day
937.32,Gump property,access-road,alley to Gump House,ext,0,day
943.32,Gump property,access-road,alley to Gump House,ext,0,day
945.64,Gump property,access-road,alley to Gump House,ext,0,day
948.16,Gump property,access-road,alley to Gump House,ext,0,day
951.08,Gump property,access-road,alley to Gump House,ext,0,day
953.84,Gump property,access-road,alley to Gump House,ext,0,day
959.6,Gump property,access-road,alley to Gump House,ext,0,day
961.44,Gump property,access-road,alley to Gump House,ext,0,day
963.24,Gump property,access-road,alley to Gump House,ext,0,day
964.88,Gump property,access-road,alley to Gump House,ext,0,day
968.72,Gump property,access-road,alley to Gump House,ext,0,day
972.56,Gump property,access-road,alley to Gump House,ext,0,day
975.08,Gump property,access-road,alley to Gump House,ext,0,day
980,Savannah,bench at bus stop,bench at bus stop,ext,++,day
983.28,Savannah,bench at bus stop,bench at bus stop,ext,0,day
984.88,Savannah,bench at bus stop,bench at bus stop,ext,0,day
991.24,Gump property,access-road,alley to Gump House,ext,-,day
1000.6,Gump property,access-road,meadow near Gump House,ext,0,day
1008.96,Greenbow Alabama,road with bridge,road with bridge,ext,+,day
1015.48,Greenbow Alabama,road between trees,road between trees,ext,+,day
1018.72,Greenbow Alabama,main street,in front of barbershop,ext,+,day
1026.76,Greenbow Alabama,Jenny's house,front of Jenny's house,ext,+,day
1040.28,Greenbow Alabama,Jenny's house,front of Jenny's house,ext,0,day
1061.2,Greenbow Alabama,Jenny's house,front of Jenny's house,ext,0,day
1072.92,Greenbow Alabama,Jenny's house,field near Jenny's house,ext,0,day
1074.96,Greenbow Alabama,Jenny's house,field near Jenny's house,ext,0,day
1078.64,Greenbow Alabama,Jenny's house,field near Jenny's house,ext,0,day
1083.32,Greenbow Alabama,Jenny's house,field near Jenny's house,ext,0,day
1084.72,Greenbow Alabama,Jenny's house,field near Jenny's house,ext,0,day
1086.84,Greenbow Alabama,Jenny's house,field near Jenny's house,ext,0,day
1094.68,Greenbow Alabama,Jenny's house,field near Jenny's house,ext,0,day
1110.28,Greenbow Alabama,Jenny's grandma's trailer,Jenny's grandma's trailer,ext,++,day
1123.88,Gump property,Gump House,front of Gump House,ext,++,night
1135.8,Gump property,Gump House,Forrest's bedroom,int,+,night
1144.4,Gump property,access-road,alley to Gump House,ext,++,day
1149.36,Gump property,access-road,alley to Gump House,ext,0,day
1150.2,Gump property,access-road,alley to Gump House,ext,0,day
1153.04,Gump property,access-road,alley to Gump House,ext,0,day
1154.36,Gump property,access-road,alley to Gump House,ext,0,day
1155.08,Gump property,access-road,alley to Gump House,ext,0,day
1157.36,Gump property,access-road,alley to Gump House,ext,0,day
1160.64,Gump property,access-road,alley to Gump House,ext,0,day
1162,Gump property,access-road,alley to Gump House,ext,0,day
1163.16,Gump property,access-road,alley to Gump House,ext,0,day
1164.08,Gump property,access-road,alley to Gump House,ext,0,day
1165.04,Gump property,access-road,alley to Gump House,ext,0,day
1166.36,Gump property,access-road,alley to Gump House,ext,0,day
1167.64,Gump property,access-road,alley to Gump House,ext,0,day
1169.8,Gump property,access-road,alley to Gump House,ext,0,day
1171.64,Gump property,access-road,inside the pursuing car,int,0,day
1173,Gump property,access-road,alley to Gump House,ext,0,day
