,time,IoE_coded,FoT_coded,ToD_coded,TR
0,0.0,0.0,0.0,1.0,0
1,0.0,0.0,0.0,1.0,1
2,0.0,0.0,0.0,1.0,2
3,0.0,0.0,0.0,1.0,3
4,0.0,0.0,0.0,1.0,4
5,0.0,0.0,0.0,1.0,5
6,0.0,0.0,0.0,1.0,6
7,0.0,0.0,0.0,1.0,7
8,17.0,0.0,2.0,1.0,8
9,17.0,0.0,2.0,1.0,9
10,17.0,0.0,2.0,1.0,10
11,17.0,0.0,2.0,1.0,11
12,17.0,0.0,2.0,1.0,12
13,17.0,0.0,2.0,1.0,13
14,17.0,0.0,2.0,1.0,14
15,17.0,0.0,2.0,1.0,15
16,17.0,0.0,2.0,1.0,16
17,17.0,0.0,2.0,1.0,17
18,17.0,0.0,2.0,1.0,18
19,17.0,0.0,2.0,1.0,19
20,17.0,0.0,2.0,1.0,20
21,17.0,0.0,2.0,1.0,21
22,17.0,0.0,2.0,1.0,22
23,17.0,0.0,2.0,1.0,23
24,17.0,0.0,2.0,1.0,24
25,17.0,0.0,2.0,1.0,25
26,17.0,0.0,2.0,1.0,26
27,17.0,0.0,2.0,1.0,27
28,17.0,0.0,2.0,1.0,28
29,17.0,0.0,2.0,1.0,29
30,17.0,0.0,2.0,1.0,30
31,17.0,0.0,2.0,1.0,31
32,17.0,0.0,2.0,1.0,32
33,17.0,0.0,2.0,1.0,33
34,17.0,0.0,2.0,1.0,34
35,17.0,0.0,2.0,1.0,35
36,17.0,0.0,2.0,1.0,36
37,17.0,0.0,2.0,1.0,37
38,17.0,0.0,2.0,1.0,38
39,17.0,0.0,2.0,1.0,39
40,17.0,0.0,2.0,1.0,40
41,17.0,0.0,2.0,1.0,41
42,17.0,0.0,2.0,1.0,42
43,17.0,0.0,2.0,1.0,43
44,17.0,0.0,2.0,1.0,44
45,17.0,0.0,2.0,1.0,45
46,17.0,0.0,2.0,1.0,46
47,17.0,0.0,2.0,1.0,47
48,17.0,0.0,2.0,1.0,48
49,17.0,0.0,2.0,1.0,49
50,17.0,0.0,2.0,1.0,50
51,17.0,0.0,2.0,1.0,51
52,17.0,0.0,2.0,1.0,52
53,17.0,0.0,2.0,1.0,53
54,17.0,0.0,2.0,1.0,54
55,17.0,0.0,2.0,1.0,55
56,17.0,0.0,2.0,1.0,56
57,17.0,0.0,2.0,1.0,57
58,17.0,0.0,2.0,1.0,58
59,17.0,0.0,2.0,1.0,59
60,17.0,0.0,2.0,1.0,60
61,17.0,0.0,2.0,1.0,61
62,17.0,0.0,2.0,1.0,62
63,17.0,0.0,2.0,1.0,63
64,17.0,0.0,2.0,1.0,64
65,17.0,0.0,2.0,1.0,65
66,17.0,0.0,2.0,1.0,66
67,17.0,0.0,2.0,1.0,67
68,17.0,0.0,2.0,1.0,68
69,17.0,0.0,2.0,1.0,69
70,17.0,0.0,2.0,1.0,70
71,17.0,0.0,2.0,1.0,71
72,17.0,0.0,2.0,1.0,72
73,17.0,0.0,2.0,1.0,73
74,17.0,0.0,2.0,1.0,74
75,17.0,0.0,2.0,1.0,75
76,17.0,0.0,2.0,1.0,76
77,17.0,0.0,2.0,1.0,77
78,17.0,0.0,2.0,1.0,78
79,17.0,0.0,2.0,1.0,79
80,17.0,0.0,2.0,1.0,80
81,17.0,0.0,2.0,1.0,81
82,17.0,0.0,2.0,1.0,82
83,17.0,0.0,2.0,1.0,83
