,SceneTitleString,SceneTitleCoded,StartTR,IndoorOutdoor,MusicPresent,Valence,ValenceCoded,Location,LocationCoded,Arousal
0,Cartoon Intro,3,0,1.0,1.0,+,1,Cartoon World,6,3
1,Cartoon Intro,3,1,1.0,1.0,+,1,Cartoon World,6,3
2,Cartoon Intro,3,2,1.0,1.0,+,1,Cartoon World,6,3
3,Cartoon Intro,3,3,1.0,1.0,+,1,Cartoon World,6,3
4,Cartoon Intro,3,4,1.0,1.0,+,1,Cartoon World,6,3
5,Cartoon Intro,3,5,1.0,1.0,+,1,Cartoon World,6,3
6,Cartoon Intro,3,6,1.0,1.0,+,1,Cartoon World,6,3
7,Cartoon Intro,3,7,1.0,1.0,+,1,Cartoon World,6,3
8,Cartoon Intro,3,8,1.0,1.0,+,1,Cartoon World,6,3
9,Cartoon Intro,3,9,1.0,1.0,+,1,Cartoon World,6,3
10,Cartoon Intro,3,10,1.0,1.0,+,1,Cartoon World,6,3
11,Cartoon Intro,3,11,1.0,1.0,+,1,Cartoon World,6,3
12,Cartoon Intro,3,12,1.0,1.0,+,1,Cartoon World,6,3
13,Cartoon Intro,3,13,1.0,1.0,+,1,Cartoon World,6,3
14,Cartoon Intro,3,14,1.0,1.0,+,1,Cartoon World,6,3
15,Cartoon Intro,3,15,1.0,1.0,+,1,Cartoon World,6,3
16,Cartoon Intro,3,16,1.0,1.0,+,1,Cartoon World,6,3
17,Cartoon Intro,3,17,1.0,1.0,+,1,Cartoon World,6,3
18,Cartoon Intro,3,18,1.0,1.0,+,1,Cartoon World,6,3
19,Cartoon Intro,3,19,1.0,1.0,+,1,Cartoon World,6,4
20,Cartoon Intro,3,20,1.0,1.0,+,1,Cartoon World,6,4
21,Cartoon Intro,3,21,1.0,1.0,+,1,Cartoon World,6,4
22,Cartoon Intro,3,22,1.0,1.0,+,1,Cartoon World,6,4
23,Cartoon Intro,3,23,1.0,1.0,+,1,Cartoon World,6,4
24,Cartoon Intro,3,24,1.0,1.0,+,1,Cartoon World,6,4
25,Cartoon Intro,3,25,1.0,1.0,+,1,Cartoon World,6,4
26,War Scenes,27,26,0.0,0.0,-,0,Afghanistan,3,5
27,War Scenes,27,27,0.0,0.0,-,0,Afghanistan,3,5
28,War Scenes,27,28,1.0,0.0,-,0,John's Room,9,5
29,War Scenes,27,29,0.0,0.0,-,0,Afghanistan,3,5
30,War Scenes,27,30,0.0,0.0,-,0,Afghanistan,3,5
31,War Scenes,27,31,0.0,0.0,-,0,Afghanistan,3,5
32,War Scenes,27,32,0.0,0.0,-,0,Afghanistan,3,5
33,War Scenes,27,33,0.0,0.0,-,0,Afghanistan,3,5
34,War Scenes,27,34,0.0,0.0,-,0,Afghanistan,3,5
35,John's Room,9,35,1.0,0.0,-,0,John's Room,9,4
36,John's Room,9,36,1.0,0.0,-,0,John's Room,9,4
37,John's Room,9,37,1.0,0.0,-,0,John's Room,9,3
38,John's Room,9,38,1.0,0.0,-,0,John's Room,9,3
39,John's Room,9,39,1.0,0.0,-,0,John's Room,9,3
40,John's Room,9,40,1.0,0.0,-,0,John's Room,9,3
41,John's Room,9,41,1.0,0.0,-,0,John's Room,9,3
42,John's Room,9,42,1.0,0.0,-,0,John's Room,9,3
43,John's Room,9,43,1.0,1.0,-,0,John's Room,9,3
44,John's Room,9,44,1.0,1.0,-,0,John's Room,9,3
45,John's Room,9,45,1.0,1.0,-,0,John's Room,9,3
46,John's Room,9,46,1.0,1.0,-,0,John's Room,9,3
47,John's Room,9,47,1.0,1.0,-,0,John's Room,9,3
48,John's Room,9,48,1.0,1.0,-,0,John's Room,9,3
