,K,LogLikelihood,method,test_subject,ROI,dataset
0,10,-3447.4292011032107,voxel,1,early_visual,sherlock
1,11,-3448.2264739275047,voxel,1,early_visual,sherlock
2,12,-3440.49959647941,voxel,1,early_visual,sherlock
3,13,-3439.1829366207685,voxel,1,early_visual,sherlock
4,14,-3446.5289858257456,voxel,1,early_visual,sherlock
5,15,-3445.4630297042336,voxel,1,early_visual,sherlock
6,16,-3439.7138686246376,voxel,1,early_visual,sherlock
7,17,-3435.114461169941,voxel,1,early_visual,sherlock
8,18,-3427.0427235449865,voxel,1,early_visual,sherlock
9,19,-3427.706718589288,voxel,1,early_visual,sherlock
10,20,-3427.9556789628464,voxel,1,early_visual,sherlock
11,21,-3426.2419523211765,voxel,1,early_visual,sherlock
12,22,-3423.161564352112,voxel,1,early_visual,sherlock
13,23,-3427.5530258767485,voxel,1,early_visual,sherlock
14,24,-3427.5502868215945,voxel,1,early_visual,sherlock
15,25,-3426.9373456574335,voxel,1,early_visual,sherlock
16,26,-3428.56465306315,voxel,1,early_visual,sherlock
17,27,-3429.663359543081,voxel,1,early_visual,sherlock
18,28,-3426.3083351898013,voxel,1,early_visual,sherlock
19,29,-3422.4279667043556,voxel,1,early_visual,sherlock
20,30,-3424.3747792726535,voxel,1,early_visual,sherlock
21,31,-3428.939603003305,voxel,1,early_visual,sherlock
22,32,-3421.1373851632284,voxel,1,early_visual,sherlock
23,33,-3420.9767250717255,voxel,1,early_visual,sherlock
24,34,-3420.8581114158337,voxel,1,early_visual,sherlock
25,35,-3423.4732770712712,voxel,1,early_visual,sherlock
26,36,-3422.9767910307387,voxel,1,early_visual,sherlock
27,37,-3421.067943857622,voxel,1,early_visual,sherlock
28,38,-3420.675259821676,voxel,1,early_visual,sherlock
29,39,-3425.11203591027,voxel,1,early_visual,sherlock
30,40,-3421.9860500781033,voxel,1,early_visual,sherlock
31,41,-3425.923329275088,voxel,1,early_visual,sherlock
32,42,-3426.8770440888165,voxel,1,early_visual,sherlock
33,43,-3426.7294703557177,voxel,1,early_visual,sherlock
34,44,-3431.6333376111543,voxel,1,early_visual,sherlock
35,45,-3421.0018881342153,voxel,1,early_visual,sherlock
36,46,-3431.2011869721464,voxel,1,early_visual,sherlock
37,47,-3417.2435155638213,voxel,1,early_visual,sherlock
38,48,-3438.356434669628,voxel,1,early_visual,sherlock
39,49,-3424.605378928706,voxel,1,early_visual,sherlock
40,50,-3430.3404283952423,voxel,1,early_visual,sherlock
41,51,-3430.414321448266,voxel,1,early_visual,sherlock
42,52,-3424.501064333342,voxel,1,early_visual,sherlock
43,53,-3430.7852900603416,voxel,1,early_visual,sherlock
44,54,-3433.3702029026335,voxel,1,early_visual,sherlock
45,55,-3434.8827458555934,voxel,1,early_visual,sherlock
46,56,-3429.3010133579796,voxel,1,early_visual,sherlock
