,subject,embedding_dimensions,embed_method,clf_accuracy,clf_sd,ROI
0,1,20,UMAP,0.4407051282051282,0.0219147345050919,high_Visual
1,2,20,UMAP,0.4439102564102564,0.01834218452285192,high_Visual
2,3,20,UMAP,0.4118589743589744,0.010508715583817295,high_Visual
3,4,20,UMAP,0.3974358974358975,0.013598207330510526,high_Visual
4,6,20,UMAP,0.39102564102564097,0.007850928662766592,high_Visual
5,9,20,UMAP,0.45352564102564097,0.009480897088300673,high_Visual
6,10,20,UMAP,0.4423076923076924,0.016343011261515338,high_Visual
7,14,20,UMAP,0.3974358974358974,0.009065471553673671,high_Visual
8,15,20,UMAP,0.3798076923076923,0.025389390252812283,high_Visual
9,16,20,UMAP,0.4487179487179487,0.04079462199153159,high_Visual
10,17,20,UMAP,0.4166666666666667,0.0235527859882998,high_Visual
11,18,20,UMAP,0.41025641025641024,0.016343011261515317,high_Visual
12,19,20,UMAP,0.4166666666666667,0.023984983248550903,high_Visual
13,20,20,UMAP,0.4567307692307693,0.03802503371059189,high_Visual
0,1,20,SMOOTH_PHATE,0.44711538461538464,0.021440846410672527,early_visual
1,2,20,SMOOTH_PHATE,0.4919871794871794,0.03856156863947425,early_visual
2,3,20,SMOOTH_PHATE,0.3317307692307692,0.029506334358208295,early_visual
3,4,20,SMOOTH_PHATE,0.3301282051282052,0.051382113916286526,early_visual
4,6,20,SMOOTH_PHATE,0.45352564102564097,0.04163583672040571,early_visual
5,9,20,SMOOTH_PHATE,0.48397435897435903,0.022435897435897426,early_visual
6,10,20,SMOOTH_PHATE,0.3205128205128205,0.04775533469792097,early_visual
7,14,20,SMOOTH_PHATE,0.3685897435897436,0.014687742612037941,early_visual
8,15,20,SMOOTH_PHATE,0.3733974358974359,0.020460168805775173,early_visual
9,16,20,SMOOTH_PHATE,0.4727564102564102,0.023715782991905014,early_visual
10,17,20,SMOOTH_PHATE,0.3669871794871795,0.050955490690976435,early_visual
11,18,20,SMOOTH_PHATE,0.6474358974358975,0.0326860225230307,early_visual
12,19,20,SMOOTH_PHATE,0.4583333333333333,0.01949603375095584,early_visual
13,20,20,SMOOTH_PHATE,0.3685897435897436,0.0322111398112849,early_visual
0,1,20,PHATE_TIME,0.3798076923076923,0.00832716734408116,high_Visual
1,2,20,PHATE_TIME,0.3621794871794872,0.016654334688162294,high_Visual
2,3,20,PHATE_TIME,0.3766025641025641,0.013878612240135237,high_Visual
3,4,20,PHATE_TIME,0.3814102564102564,0.003205128205128221,high_Visual
4,6,20,PHATE_TIME,0.3830128205128205,0.0027757224480270608,high_Visual
5,9,20,PHATE_TIME,0.38461538461538464,0.0,high_Visual
6,10,20,PHATE_TIME,0.38461538461538464,0.0,high_Visual
7,14,20,PHATE_TIME,0.38461538461538464,0.0,high_Visual
8,15,20,PHATE_TIME,0.38461538461538464,0.0,high_Visual
9,16,20,PHATE_TIME,0.38461538461538464,0.0,high_Visual
10,17,20,PHATE_TIME,0.3685897435897436,0.027757224480270463,high_Visual
11,18,20,PHATE_TIME,0.38461538461538464,0.0,high_Visual
12,19,20,PHATE_TIME,0.3701923076923077,0.010508715583817295,high_Visual
13,20,20,PHATE_TIME,0.3766025641025641,0.013878612240135237,high_Visual
0,1,20,PHATE_TIME,0.3766025641025641,0.008327167344081156,early_visual
1,2,20,PHATE_TIME,0.3701923076923077,0.0027757224480270608,early_visual
2,3,20,PHATE_TIME,0.38461538461538464,0.0,early_visual
3,4,20,PHATE_TIME,0.3814102564102564,0.003205128205128221,early_visual
4,6,20,PHATE_TIME,0.3782051282051282,0.011102889792108194,early_visual
5,9,20,PHATE_TIME,0.38461538461538464,0.0,early_visual
6,10,20,PHATE_TIME,0.37660256410256415,0.013878612240135231,early_visual
7,14,20,PHATE_TIME,0.38461538461538464,0.0,early_visual
8,15,20,PHATE_TIME,0.38461538461538464,0.0,early_visual
9,16,20,PHATE_TIME,0.38461538461538464,0.0,early_visual
10,17,20,PHATE_TIME,0.38461538461538464,0.0,early_visual
11,18,20,PHATE_TIME,0.38461538461538464,0.0,early_visual
12,19,20,PHATE_TIME,0.35897435897435903,0.026430164266779868,early_visual
13,20,20,PHATE_TIME,0.38461538461538464,0.0,early_visual
0,1,20,ACPHATE,0.6201923076923077,0.03152614675145195,high_Visual
1,2,20,ACPHATE,0.655448717948718,0.03403327016281299,high_Visual
2,3,20,ACPHATE,0.4407051282051282,0.04236956431539195,high_Visual
3,4,20,ACPHATE,0.4855769230769231,0.06351897814937953,high_Visual
4,6,20,ACPHATE,0.45192307692307704,0.02623510503805272,high_Visual
5,9,20,ACPHATE,0.6762820512820513,0.057065685303733515,high_Visual
6,10,20,ACPHATE,0.4391025641025641,0.056158382910048786,high_Visual
7,14,20,ACPHATE,0.4615384615384616,0.02266367888418422,high_Visual
8,15,20,ACPHATE,0.5977564102564102,0.013878612240135264,high_Visual
9,16,20,ACPHATE,0.530448717948718,0.043564991086757016,high_Visual
10,17,20,ACPHATE,0.4967948717948718,0.07315841160585465,high_Visual
11,18,20,ACPHATE,0.983974358974359,0.007166884543268581,high_Visual
12,19,20,ACPHATE,0.5817307692307692,0.03551044840730823,high_Visual
13,20,20,ACPHATE,0.3173076923076923,0.09093757025071222,high_Visual
0,1,20,SMOOTH_PHATE,0.5048076923076923,0.034927074868114374,high_Visual
1,2,20,SMOOTH_PHATE,0.4919871794871795,0.01460005381273124,high_Visual
2,3,20,SMOOTH_PHATE,0.3942307692307692,0.033462520861892775,high_Visual
3,4,20,SMOOTH_PHATE,0.4070512820512821,0.04677730615168725,high_Visual
4,6,20,SMOOTH_PHATE,0.4150641025641026,0.0613805064173255,high_Visual
5,9,20,SMOOTH_PHATE,0.5368589743589743,0.029156098395288876,high_Visual
6,10,20,SMOOTH_PHATE,0.3846153846153846,0.06047423802600387,high_Visual
7,14,20,SMOOTH_PHATE,0.42948717948717946,0.02355278598829979,high_Visual
8,15,20,SMOOTH_PHATE,0.5144230769230769,0.052543577919086565,high_Visual
9,16,20,SMOOTH_PHATE,0.4871794871794872,0.05148198206477247,high_Visual
10,17,20,SMOOTH_PHATE,0.4070512820512821,0.013215082133389934,high_Visual
11,18,20,SMOOTH_PHATE,0.9342948717948718,0.011444596840613544,high_Visual
12,19,20,SMOOTH_PHATE,0.5400641025641026,0.026575519153488773,high_Visual
13,20,20,SMOOTH_PHATE,0.3349358974358975,0.04993729631693232,high_Visual
0,1,20,voxel,0.48397435897435903,0.01602564102564101,early_visual
1,2,20,voxel,0.5128205128205128,0.0231125081760512,early_visual
2,3,20,voxel,0.3525641025641025,0.03481660413846223,early_visual
3,4,20,voxel,0.3701923076923077,0.0219147345050919,early_visual
4,6,20,voxel,0.4294871794871795,0.0235527859882998,early_visual
5,9,20,voxel,0.5192307692307693,0.027196414661021046,early_visual
6,10,20,voxel,0.3637820512820513,0.01594531149209327,early_visual
7,14,20,voxel,0.4118589743589744,0.021440846410672516,early_visual
8,15,20,voxel,0.4102564102564103,0.03361566821058177,early_visual
9,16,20,voxel,0.4839743589743589,0.04655717643055753,early_visual
10,17,20,voxel,0.3461538461538461,0.03951547437800627,early_visual
11,18,20,voxel,0.9967948717948718,0.0032051282051281933,early_visual
12,19,20,voxel,0.4375,0.03463170318104857,early_visual
13,20,20,voxel,0.3894230769230769,0.02327858821527876,early_visual
0,1,20,voxel,0.5240384615384615,0.009480897088300666,high_Visual
1,2,20,voxel,0.5993589743589745,0.036684369045703824,high_Visual
2,3,20,voxel,0.4375,0.017773295683348418,high_Visual
3,4,20,voxel,0.4326923076923077,0.03668436904570385,high_Visual
4,6,20,voxel,0.5032051282051282,0.05138211391628654,high_Visual
5,9,20,voxel,0.6025641025641026,0.030406515963157507,high_Visual
6,10,20,voxel,0.4535256410256411,0.07243518833326618,high_Visual
7,14,20,voxel,0.4647435897435898,0.025032851525341848,high_Visual
8,15,20,voxel,0.5192307692307692,0.016343011261515317,high_Visual
9,16,20,voxel,0.5144230769230769,0.04652958699024992,high_Visual
10,17,20,voxel,0.4326923076923077,0.058135760087234166,high_Visual
