,Unnamed: 0,subject,embed_method,CV_M,avg_within,avg_between,avg_difference,ROI
0,0,1,PHATE,3,-0.014999982,-0.011599156,-0.003400826,early_visual
1,1,2,PHATE,3,0.0051702,-0.006386492,0.011556692,early_visual
2,2,3,PHATE,3,-0.015618981,-0.009830142,-0.005788839,early_visual
3,3,4,PHATE,3,-0.029273494,-0.012413528,-0.016859966,early_visual
4,4,5,PHATE,3,0.016372593,0.023608897,-0.007236304,early_visual
5,5,6,PHATE,3,0.001529959,-0.002939986,0.004469946,early_visual
6,6,7,PHATE,3,-0.006428767,-6.55E-05,-0.006363255,early_visual
7,7,8,PHATE,3,-0.010446575,-0.005994798,-0.004451777,early_visual
8,8,9,PHATE,3,-0.006173165,-0.017093336,0.010920171,early_visual
9,9,10,PHATE,3,0.002203413,-0.014206655,0.016410068,early_visual
10,10,11,PHATE,3,-0.001957851,-0.007689832,0.00573198,early_visual
11,11,12,PHATE,3,-0.019025606,-0.008454406,-0.010571199,early_visual
12,12,13,PHATE,3,-0.007904581,-0.010431641,0.002527061,early_visual
13,13,14,PHATE,3,-0.003303712,0.005799964,-0.009103676,early_visual
14,14,15,PHATE,3,-0.012991903,0.011013347,-0.02400525,early_visual
15,15,16,PHATE,3,-0.001141284,-0.015637004,0.01449572,early_visual
16,16,1,TPHATE,8,-0.004589451,-0.033054744,0.028465293,early_visual
17,17,2,TPHATE,8,0.023741824,-0.021203092,0.044944917,early_visual
18,18,3,TPHATE,8,-0.01930242,-0.009755613,-0.009546807,early_visual
19,19,4,TPHATE,8,-0.006116592,-0.018496991,0.012380398,early_visual
20,20,5,TPHATE,8,0.096860041,0.057956207,0.038903833,early_visual
21,21,6,TPHATE,8,0.014499769,0.02720049,-0.012700721,early_visual
22,22,7,TPHATE,8,0.11410598,0.029457397,0.084648584,early_visual
23,23,8,TPHATE,8,0.037231144,0.018166644,0.0190645,early_visual
24,24,9,TPHATE,8,0.044172491,0.010455447,0.033717044,early_visual
25,25,10,TPHATE,8,0.023173743,0.004062843,0.0191109,early_visual
26,26,11,TPHATE,8,0.003912896,-0.005876821,0.009789717,early_visual
27,27,12,TPHATE,8,-0.020704173,-0.015337774,-0.005366399,early_visual
28,28,13,TPHATE,8,-0.026451639,-0.001585037,-0.024866601,early_visual
29,29,14,TPHATE,8,0.116436283,0.050758763,0.06567752,early_visual
30,30,15,TPHATE,8,0.073732194,0.069085618,0.004646576,early_visual
31,31,16,TPHATE,8,0.073245684,-0.007950362,0.081196045,early_visual
32,32,1,UMAP,3,0.069940461,0.060125085,0.009815376,early_visual
33,33,2,UMAP,3,0.238847383,0.233272885,0.005574499,early_visual
34,34,3,UMAP,3,-0.012137412,-0.008235295,-0.003902117,early_visual
35,35,4,UMAP,3,-0.015526081,-0.005942169,-0.009583912,early_visual
36,36,5,UMAP,3,0.283388606,0.283085738,0.000302867,early_visual
37,37,6,UMAP,3,-0.002473925,-0.003950415,0.00147649,early_visual
38,38,7,UMAP,3,0.145494257,0.119839208,0.025655049,early_visual
39,39,8,UMAP,3,0.078281504,0.09022563,-0.011944126,early_visual
40,40,9,UMAP,3,0.027311608,0.026779613,0.000531996,early_visual
41,41,10,UMAP,3,0.319049131,0.311995116,0.007054014,early_visual
42,42,11,UMAP,3,0.144829845,0.156363939,-0.011534094,early_visual
43,43,12,UMAP,3,0.088462849,0.100944064,-0.012481215,early_visual
44,44,13,UMAP,3,0.075231303,0.073596096,0.001635207,early_visual
45,45,14,UMAP,3,0.336830443,0.336503959,0.000326484,early_visual
46,46,15,UMAP,3,0.093686002,0.129517597,-0.035831594,early_visual
47,47,16,UMAP,3,0.048960634,0.039887427,0.009073207,early_visual
48,48,1,PCA,3,-0.006465888,-0.014688684,0.008222797,early_visual
49,49,2,PCA,3,0.00179252,-0.008386423,0.010178943,early_visual
50,50,3,PCA,3,-0.01908979,-0.008805178,-0.010284613,early_visual
51,51,4,PCA,3,-0.023620999,-0.012251014,-0.011369985,early_visual
52,52,5,PCA,3,-0.006029194,-0.007957135,0.001927941,early_visual
53,53,6,PCA,3,-0.000317538,-0.003759161,0.003441623,early_visual
54,54,7,PCA,3,-0.010478332,-0.004278321,-0.00620001,early_visual
55,55,8,PCA,3,-0.01453801,-0.011686687,-0.002851323,early_visual
56,56,9,PCA,3,-0.013316217,-0.00875348,-0.004562737,early_visual
57,57,10,PCA,3,-0.011387868,-0.009904152,-0.001483716,early_visual
58,58,11,PCA,3,-0.007164434,-0.004143386,-0.003021048,early_visual
59,59,12,PCA,3,-0.016106041,-0.00329545,-0.012810591,early_visual
60,60,13,PCA,3,-0.009315085,-0.010564713,0.001249628,early_visual
61,61,14,PCA,3,-0.006878333,0.000829625,-0.007707959,early_visual
62,62,15,PCA,3,-0.010459217,0.005818616,-0.016277832,early_visual
63,63,16,PCA,3,0.003438748,-0.016158862,0.01959761,early_visual
64,64,1,LLE,3,-0.002691092,-0.010697053,0.008005961,early_visual
65,65,2,LLE,3,0.294025922,0.277738368,0.016287554,early_visual
66,66,3,LLE,3,-0.013469311,-0.002686737,-0.010782574,early_visual
67,67,4,LLE,3,-0.017934071,-0.01053118,-0.007402892,early_visual
68,68,5,LLE,3,0.010612675,0.008097623,0.002515051,early_visual
69,69,6,LLE,3,-0.00112305,0.014856915,-0.015979965,early_visual
70,70,7,LLE,3,-0.004960624,-0.009093146,0.004132522,early_visual
71,71,8,LLE,3,0.010892108,0.010759379,0.000132729,early_visual
72,72,9,LLE,3,0.020780471,-0.007163592,0.027944063,early_visual
73,73,10,LLE,3,0.017283301,-0.007194832,0.024478133,early_visual
74,74,11,LLE,3,0.021339546,0.026784396,-0.005444851,early_visual
75,75,12,LLE,3,-0.019481354,-0.004062614,-0.01541874,early_visual
76,76,13,LLE,3,0.028061723,0.023835349,0.004226374,early_visual
77,77,14,LLE,3,0.010310617,0.018961094,-0.008650478,early_visual
78,78,15,LLE,3,0.019606705,0.030514556,-0.010907851,early_visual
79,79,16,LLE,3,0.00889683,0.000958459,0.007938371,early_visual
80,80,1,ISOMAP,3,-0.009700383,-0.012593696,0.002893313,early_visual
81,81,2,ISOMAP,3,0.004393758,-0.007129016,0.011522775,early_visual
82,82,3,ISOMAP,3,-0.001695655,-0.009375656,0.007680002,early_visual
83,83,4,ISOMAP,3,-0.026739104,-0.013065408,-0.013673696,early_visual
84,84,5,ISOMAP,3,-0.010193866,-0.002501482,-0.007692384,early_visual
85,85,6,ISOMAP,3,-0.010027229,-0.004136951,-0.005890278,early_visual
86,86,7,ISOMAP,3,-0.01187769,-0.00347232,-0.00840537,early_visual
87,87,8,ISOMAP,3,-0.015244563,-0.011724027,-0.003520535,early_visual
88,88,9,ISOMAP,3,-0.009773556,-0.011539808,0.001766253,early_visual
89,89,10,ISOMAP,3,-0.008082435,-0.015720712,0.007638276,early_visual
90,90,11,ISOMAP,3,-0.005299977,-0.004682328,-0.000617649,early_visual
91,91,12,ISOMAP,3,-0.019021061,-0.003152229,-0.015868831,early_visual
92,92,13,ISOMAP,3,-0.008930197,-0.01160669,0.002676493,early_visual
93,93,14,ISOMAP,3,-0.007382817,-0.00489348,-0.002489337,early_visual
94,94,15,ISOMAP,3,-0.006943249,0.009348049,-0.016291298,early_visual
95,95,16,ISOMAP,3,0.001696221,-0.017050704,0.018746924,early_visual
96,96,1,SMOOTH_PHATE,3,3.11E-05,-0.02669214,0.026723252,early_visual
97,97,2,SMOOTH_PHATE,3,0.200945979,-0.03078172,0.231727699,early_visual
98,98,3,SMOOTH_PHATE,3,0.017969454,0.005354887,0.012614568,early_visual
99,99,4,SMOOTH_PHATE,3,-0.021461096,-0.024227159,0.002766063,early_visual
100,100,5,SMOOTH_PHATE,3,0.208902853,0.198287897,0.010614957,early_visual
101,101,6,SMOOTH_PHATE,3,0.090561173,0.048070875,0.042490298,early_visual
102,102,7,SMOOTH_PHATE,3,0.043510222,0.118377298,-0.074867076,early_visual
103,103,8,SMOOTH_PHATE,3,0.097159252,-0.012748237,0.10990749,early_visual
104,104,9,SMOOTH_PHATE,3,0.000433229,-0.017804095,0.018237324,early_visual
105,105,10,SMOOTH_PHATE,3,-0.007585678,-0.033407696,0.025822018,early_visual
106,106,11,SMOOTH_PHATE,3,0.061573052,0.049914296,0.011658755,early_visual
107,107,12,SMOOTH_PHATE,3,0.065076014,0.1667647,-0.101688686,early_visual
108,108,13,SMOOTH_PHATE,3,-0.00947843,-0.015401919,0.00592349,early_visual
109,109,14,SMOOTH_PHATE,3,0.098858608,0.147028123,-0.048169515,early_visual
110,110,15,SMOOTH_PHATE,3,0.157130782,0.05103581,0.106094972,early_visual
111,111,16,SMOOTH_PHATE,3,0.23800584,0.156022268,0.081983572,early_visual
112,112,1,PHATE_TIME,3,0.768679149,0.706745012,0.061934137,early_visual
113,113,2,PHATE_TIME,3,0.769522644,0.705708992,0.063813652,early_visual
114,114,3,PHATE_TIME,3,0.775021625,0.524488747,0.250532877,early_visual
115,115,4,PHATE_TIME,3,0.494685679,0.656357314,-0.161671635,early_visual
116,116,5,PHATE_TIME,3,0.630600088,0.815128576,-0.184528489,early_visual
117,117,6,PHATE_TIME,3,0.638389481,0.673015017,-0.034625535,early_visual
118,118,7,PHATE_TIME,3,0.569147589,0.633501099,-0.064353509,early_visual
119,119,8,PHATE_TIME,3,0.630021555,0.748934408,-0.118912854,early_visual
120,120,9,PHATE_TIME,3,0.742055846,0.698524022,0.043531823,early_visual
121,121,10,PHATE_TIME,3,0.647601544,0.772880881,-0.125279338,early_visual
122,122,11,PHATE_TIME,3,0.804636904,0.653600005,0.151036899,early_visual
123,123,12,PHATE_TIME,3,0.78488677,0.661152371,0.123734399,early_visual
124,124,13,PHATE_TIME,3,0.882980142,0.619287084,0.263693058,early_visual
125,125,14,PHATE_TIME,3,0.738671349,0.691379373,0.047291976,early_visual
126,126,15,PHATE_TIME,3,0.588679759,0.534225272,0.054454487,early_visual
127,127,16,PHATE_TIME,3,0.893577176,0.655150377,0.2384268,early_visual
128,128,1,TSNE,3,-0.006758572,-0.011308065,0.004549493,early_visual
129,129,2,TSNE,3,-0.002173884,-0.009817497,0.007643613,early_visual
130,130,3,TSNE,3,-0.010816554,-0.00720464,-0.003611914,early_visual
131,131,4,TSNE,3,-0.013715989,-0.000459592,-0.013256397,early_visual
132,132,5,TSNE,3,-0.007244422,-0.002579634,-0.004664788,early_visual
133,133,6,TSNE,3,-0.013852493,-0.005755603,-0.00809689,early_visual
134,134,7,TSNE,3,-0.007166891,-0.001484531,-0.00568236,early_visual
135,135,8,TSNE,3,-0.010308174,0.002194991,-0.012503166,early_visual
136,136,9,TSNE,3,-0.006479458,-0.008465407,0.001985949,early_visual
137,137,10,TSNE,3,-0.002957922,-0.018755982,0.01579806,early_visual
138,138,11,TSNE,3,-0.000405979,-0.004027512,0.003621533,early_visual
139,139,12,TSNE,3,-0.009224963,-0.004340471,-0.004884492,early_visual
140,140,13,TSNE,3,0.001586797,-0.013512519,0.015099316,early_visual
141,141,14,TSNE,3,-0.008028484,-0.002504619,-0.005523865,early_visual
142,142,15,TSNE,3,-0.000551998,-0.007251527,0.00669953,early_visual
143,143,16,TSNE,3,-0.004515019,-0.011898661,0.007383642,early_visual
144,144,1,voxel,307,-0.010494893,-0.015888147,0.005393254,early_visual
145,145,2,voxel,307,-0.009619945,-0.013127642,0.003507696,early_visual
146,146,3,voxel,307,-0.011453461,-0.010607394,-0.000846067,early_visual
147,147,4,voxel,307,-0.011653772,-0.01355921,0.001905437,early_visual
148,148,5,voxel,307,-0.007195384,-0.008020312,0.000824928,early_visual
149,149,6,voxel,307,-0.010935854,-0.010432054,-0.0005038,early_visual
150,150,7,voxel,307,-0.008152644,-0.011373872,0.003221229,early_visual
151,151,8,voxel,307,-0.010853998,-0.011350915,0.000496917,early_visual
152,152,9,voxel,307,-0.010310387,-0.01202309,0.001712703,early_visual
153,153,10,voxel,307,-0.007973804,-0.012396606,0.004422802,early_visual
154,154,11,voxel,307,-0.008737524,-0.004680772,-0.004056752,early_visual
155,155,12,voxel,307,-0.013223866,-0.009464793,-0.003759073,early_visual
156,156,13,voxel,307,-0.007520382,-0.01137652,0.003856138,early_visual
157,157,14,voxel,307,-0.003162635,-0.008618342,0.005455707,early_visual
158,158,15,voxel,307,-0.007418048,-0.009150233,0.001732185,early_visual
159,159,16,voxel,307,-0.000453371,-0.011942795,0.011489424,early_visual
0,0,1,PHATE,3,-0.014868757,-0.019901457,0.0050327,high_Visual
1,1,2,PHATE,3,-0.015502799,-0.00840821,-0.007094589,high_Visual
2,2,3,PHATE,3,-0.024178593,-0.009385884,-0.014792709,high_Visual
3,3,4,PHATE,3,-0.02163668,-0.037304523,0.015667843,high_Visual
4,4,5,PHATE,3,0.036733633,0.036749875,-1.62E-05,high_Visual
5,5,6,PHATE,3,-0.013735647,-0.017538795,0.003803148,high_Visual
6,6,7,PHATE,3,-0.007026921,-0.003112495,-0.003914426,high_Visual
7,7,8,PHATE,3,0.001603633,-0.005156577,0.00676021,high_Visual
8,8,9,PHATE,3,-0.010779246,-0.00703667,-0.003742576,high_Visual
9,9,10,PHATE,3,-0.017791821,-0.029184563,0.011392741,high_Visual
10,10,11,PHATE,3,-0.008188371,-0.0053221,-0.00286627,high_Visual
11,11,12,PHATE,3,-0.014513863,-0.010862754,-0.003651109,high_Visual
12,12,13,PHATE,3,-0.015628427,-0.01546413,-0.000164297,high_Visual
13,13,14,PHATE,3,0.043630823,-0.003058523,0.046689346,high_Visual
14,14,15,PHATE,3,0.052955547,-0.006482023,0.05943757,high_Visual
15,15,16,PHATE,3,-0.016398452,0.001164096,-0.017562548,high_Visual
16,16,1,TPHATE,9,0.040004164,0.007706059,0.032298105,high_Visual
17,17,2,TPHATE,9,-0.007824204,-0.008381605,0.000557401,high_Visual
18,18,3,TPHATE,6,-0.010619168,-0.010218228,-0.00040094,high_Visual
19,19,4,TPHATE,9,0.222867506,0.141331322,0.081536183,high_Visual
20,20,5,TPHATE,5,0.634462344,0.546954352,0.087507992,high_Visual
21,21,6,TPHATE,9,0.009380615,-0.005727428,0.015108043,high_Visual
22,22,7,TPHATE,6,0.004726149,0.038225919,-0.03349977,high_Visual
23,23,8,TPHATE,9,0.016895049,-0.024972469,0.041867519,high_Visual
24,24,9,TPHATE,9,-0.002058102,-0.004726197,0.002668095,high_Visual
25,25,10,TPHATE,9,0.153044001,0.023399291,0.12964471,high_Visual
26,26,11,TPHATE,6,0.285991688,0.363941087,-0.077949398,high_Visual
27,27,12,TPHATE,9,0.018126452,0.009872568,0.008253884,high_Visual
28,28,13,TPHATE,6,0.00436366,0.011817881,-0.007454221,high_Visual
29,29,14,TPHATE,9,0.32057155,0.252462551,0.068108999,high_Visual
30,30,15,TPHATE,5,0.33817007,0.295226962,0.042943108,high_Visual
31,31,16,TPHATE,5,0.430359982,0.465540123,-0.035180141,high_Visual
32,32,1,UMAP,4,0.719106627,0.710396606,0.008710021,high_Visual
33,33,2,UMAP,4,0.925674809,0.922829213,0.002845596,high_Visual
34,34,3,UMAP,4,0.06414101,0.076369464,-0.012228454,high_Visual
35,35,4,UMAP,4,0.405370506,0.408698667,-0.003328161,high_Visual
36,36,5,UMAP,4,0.81623805,0.902389126,-0.086151076,high_Visual
37,37,6,UMAP,4,0.281324716,0.255246698,0.026078018,high_Visual
38,38,7,UMAP,4,0.627978713,0.600312993,0.027665719,high_Visual
39,39,8,UMAP,4,0.321748605,0.299396206,0.022352399,high_Visual
40,40,9,UMAP,4,0.033055775,0.039239378,-0.006183603,high_Visual
41,41,10,UMAP,4,0.590342926,0.553559651,0.036783275,high_Visual
42,42,11,UMAP,4,0.369541028,0.351797731,0.017743297,high_Visual
