,method,sigma,alpha,rho
0,LLE,0.5,3,0.8865197055468667
1,ISOMAP,0.5,3,0.999359590072005
2,TSNE,0.5,3,0.9186477779520851
3,PHATE,0.5,3,0.9891671359016079
4,PCA,0.5,3,0.999359590072005
5,UMAP,0.5,3,0.9793690076345888
6,TPHATE,0.5,3,0.9881034883352326
7,LLE,1.0,3,0.8856303594425947
8,ISOMAP,1.0,3,0.999359590072005
9,TSNE,1.0,3,0.8427213677507122
10,PHATE,1.0,3,0.9885553032306841
11,PCA,1.0,3,0.999359590072005
12,UMAP,1.0,3,0.9883960192495648
13,TPHATE,1.0,3,0.9880683927225539
14,LLE,2.0,3,0.8882724113140115
15,ISOMAP,2.0,3,0.9992995581029493
16,TSNE,2.0,3,0.9298161153539071
17,PHATE,2.0,3,0.9905469476211346
18,PCA,2.0,3,0.999339309514282
19,UMAP,2.0,3,0.9900371503201651
20,TPHATE,2.0,3,0.9882318011340026
21,LLE,3.0,3,0.8855043618915249
22,ISOMAP,3.0,3,0.9986198747576218
23,TSNE,3.0,3,0.9155870964022522
24,PHATE,3.0,3,0.9890340787427969
25,PCA,3.0,3,0.999286033513925
26,UMAP,3.0,3,0.9917076331648876
27,TPHATE,3.0,3,0.988147212357373
28,LLE,50.0,3,0.7486153542720012
29,ISOMAP,50.0,3,0.8253560484759798
30,TSNE,50.0,3,0.7057528826117768
31,PHATE,50.0,3,0.9064574927457436
32,PCA,50.0,3,0.8357316475955971
33,UMAP,50.0,3,0.8651721222730023
34,TPHATE,50.0,3,0.9818877314481856
35,LLE,80.0,3,0.33516480905139595
36,ISOMAP,80.0,3,0.4926132162482188
37,TSNE,80.0,3,0.26041667015499587
38,PHATE,80.0,3,0.579542075721117
39,PCA,80.0,3,0.5740162879519672
40,UMAP,80.0,3,0.5607371910935915
41,TPHATE,80.0,3,0.6425707976565531
42,LLE,100.0,3,0.5418079156715969
43,ISOMAP,100.0,3,0.5123284739837193
44,TSNE,100.0,3,0.21048408990311698
45,PHATE,100.0,3,0.6399887904058188
46,PCA,100.0,3,0.5268527059945831
47,UMAP,100.0,3,0.5481838295020109
48,TPHATE,100.0,3,0.661531676842236
49,LLE,0.5,4,0.884714242496063
50,ISOMAP,0.5,4,0.999359590072005
51,TSNE,0.5,4,0.9219001822540926
52,PHATE,0.5,4,0.9893851360825984
53,PCA,0.5,4,0.999359590072005
54,UMAP,0.5,4,0.9912375240171168
55,TPHATE,0.5,4,0.9881428348945084
56,LLE,1.0,4,0.8795722291735594
57,ISOMAP,1.0,4,0.999359590072005
58,TSNE,1.0,4,0.9229638804269752
59,PHATE,1.0,4,0.9886961917464699
60,PCA,1.0,4,0.999359590072005
61,UMAP,1.0,4,0.984545901492116
62,TPHATE,1.0,4,0.9880443166767977
63,LLE,2.0,4,0.8823985899438599
64,ISOMAP,2.0,4,0.9993471408712568
65,TSNE,2.0,4,0.8205316036371993
66,PHATE,2.0,4,0.989290970024499
67,PCA,2.0,4,0.999359590072005
68,UMAP,2.0,4,0.9904883452859047
69,TPHATE,2.0,4,0.9880589546089784
70,LLE,3.0,4,0.8864050312017622
71,ISOMAP,3.0,4,0.9992535314847355
72,TSNE,3.0,4,0.9159141915609386
73,PHATE,3.0,4,0.9889706308345113
74,PCA,3.0,4,0.9993185102398608
75,UMAP,3.0,4,0.9938487185708251
76,TPHATE,3.0,4,0.9881254009528099
77,LLE,50.0,4,0.741117987592469
78,ISOMAP,50.0,4,0.8479706289134024
79,TSNE,50.0,4,0.8051312211687918
80,PHATE,50.0,4,0.917613798450501
81,PCA,50.0,4,0.9097223968550068
82,UMAP,50.0,4,0.8814239718751125
83,TPHATE,50.0,4,0.9862471277899061
84,LLE,80.0,4,0.5101588338561467
85,ISOMAP,80.0,4,0.6567528790728663
86,TSNE,80.0,4,0.654737993644027
87,PHATE,80.0,4,0.8017092218098416
88,PCA,80.0,4,0.762373833920575
