,ROI,dataset,subject,embed_method,regressor,shift_by,num_reps,embed_dimensions,zstat,p-value
0,early_visual,sherlock,1,TPHATE,IndoorOutdoor,1,1000,20,5.821982762679792,2.907677420655793e-09
1,early_visual,sherlock,2,TPHATE,IndoorOutdoor,1,1000,20,5.827819132073453,2.8078195939915517e-09
2,early_visual,sherlock,3,TPHATE,IndoorOutdoor,1,1000,20,5.868678033901398,2.196417669957637e-09
3,early_visual,sherlock,4,TPHATE,IndoorOutdoor,1,1000,20,5.807903691110645,3.1629942756042982e-09
4,early_visual,sherlock,5,TPHATE,IndoorOutdoor,1,1000,20,5.80935964319105,3.1356121812071227e-09
5,early_visual,sherlock,6,TPHATE,IndoorOutdoor,1,1000,20,5.735771858491344,4.853462638814361e-09
6,early_visual,sherlock,7,TPHATE,IndoorOutdoor,1,1000,20,5.741579822755918,4.6898662897513246e-09
7,early_visual,sherlock,8,TPHATE,IndoorOutdoor,1,1000,20,5.742226328526332,4.67199082228349e-09
8,early_visual,sherlock,9,TPHATE,IndoorOutdoor,1,1000,20,5.7824263394459745,3.6815406604512706e-09
9,early_visual,sherlock,10,TPHATE,IndoorOutdoor,1,1000,20,5.856122647756635,2.3689918770399844e-09
10,early_visual,sherlock,11,TPHATE,IndoorOutdoor,1,1000,20,5.673472558575917,6.996576254002459e-09
11,early_visual,sherlock,12,TPHATE,IndoorOutdoor,1,1000,20,5.75981040272545,4.210423471619546e-09
12,early_visual,sherlock,13,TPHATE,IndoorOutdoor,1,1000,20,5.838325546591183,2.6364026752843017e-09
13,early_visual,sherlock,14,TPHATE,IndoorOutdoor,1,1000,20,5.679056905145949,6.771970952774553e-09
14,early_visual,sherlock,15,TPHATE,IndoorOutdoor,1,1000,20,5.682752616951062,6.627196240649663e-09
15,early_visual,sherlock,16,TPHATE,IndoorOutdoor,1,1000,20,5.654881886308428,7.797674045925658e-09
16,early_visual,sherlock,1,TPHATE,MusicPresent,1,1000,20,8.587759463677319,4.4340843163642916e-18
17,early_visual,sherlock,2,TPHATE,MusicPresent,1,1000,20,8.625139907807686,3.2007173729853094e-18
18,early_visual,sherlock,3,TPHATE,MusicPresent,1,1000,20,8.487635860073755,1.0544156829807562e-17
19,early_visual,sherlock,4,TPHATE,MusicPresent,1,1000,20,8.591448347264926,4.293990734394288e-18
20,early_visual,sherlock,5,TPHATE,MusicPresent,1,1000,20,8.272865690987906,6.538849574642158e-17
21,early_visual,sherlock,6,TPHATE,MusicPresent,1,1000,20,8.627294164622544,3.1410226898507162e-18
22,early_visual,sherlock,7,TPHATE,MusicPresent,1,1000,20,8.578136081239583,4.821141754560311e-18
23,early_visual,sherlock,8,TPHATE,MusicPresent,1,1000,20,8.543464792510191,6.51281069474489e-18
24,early_visual,sherlock,9,TPHATE,MusicPresent,1,1000,20,8.600725020211648,3.9607036201208845e-18
25,early_visual,sherlock,10,TPHATE,MusicPresent,1,1000,20,8.662936224723643,2.298828216105157e-18
26,early_visual,sherlock,11,TPHATE,MusicPresent,1,1000,20,8.537609168023392,6.851374515075145e-18
27,early_visual,sherlock,12,TPHATE,MusicPresent,1,1000,20,8.59289068829443,4.240410595809592e-18
28,early_visual,sherlock,13,TPHATE,MusicPresent,1,1000,20,8.665190182980897,2.2537994687998484e-18
29,early_visual,sherlock,14,TPHATE,MusicPresent,1,1000,20,8.647201970250572,2.6388756188812035e-18
30,early_visual,sherlock,15,TPHATE,MusicPresent,1,1000,20,8.496450738527184,9.77379162214587e-18
31,early_visual,sherlock,16,TPHATE,MusicPresent,1,1000,20,8.385805550091174,2.5189777104412343e-17
