,test_subject,train_subject,avg_diff,avg_between,avg_within,K,ROI,embed_method,dataset
0,1,2,0.06963085522841084,0.09493074761330586,0.16456160284171667,51,early_visual,TPHATE,sherlock
1,1,3,0.1768662114291684,0.0801679333796099,0.2570341448087783,52,early_visual,TPHATE,sherlock
2,1,4,0.1171100434561077,0.06706097501128035,0.184171018467388,51,early_visual,TPHATE,sherlock
3,1,5,0.1176949167024759,0.06315440298587822,0.18084931968835413,52,early_visual,TPHATE,sherlock
4,1,6,0.11773284720564962,0.06947282480321232,0.187205672008862,52,early_visual,TPHATE,sherlock
5,1,7,0.023671980170322942,0.06251801766066185,0.08618999783098479,52,early_visual,TPHATE,sherlock
6,1,8,-0.06416188985421886,0.16769999235457156,0.1035381025003527,52,early_visual,TPHATE,sherlock
7,1,9,0.16498506302583518,0.03342765642254642,0.1984127194483816,53,early_visual,TPHATE,sherlock
8,1,10,0.04179847979434452,0.11515278637072572,0.15695126616507024,52,early_visual,TPHATE,sherlock
9,1,11,0.08546914842191769,0.12603712029657094,0.2115062687184886,53,early_visual,TPHATE,sherlock
10,1,12,-0.002048038062448279,0.17499642050363387,0.17294838244118566,53,early_visual,TPHATE,sherlock
11,1,13,0.032149301891005753,0.10085435531030933,0.13300365720131507,51,early_visual,TPHATE,sherlock
12,1,14,0.04907527916849127,0.10932368339529093,0.15839896256378222,54,early_visual,TPHATE,sherlock
13,1,15,0.017838157263072037,0.1339215369862117,0.15175969424928373,52,early_visual,TPHATE,sherlock
14,1,16,0.1009501754260652,0.08212011275928863,0.18307028818535384,52,early_visual,TPHATE,sherlock
0,2,1,-0.003909456110931275,0.049197749704752165,0.045288293593820896,53,early_visual,TPHATE,sherlock
1,2,3,0.07794239166777017,0.011572038317917768,0.08951442998568794,52,early_visual,TPHATE,sherlock
2,2,4,0.09382473011718323,0.005546051594169207,0.09937078171135244,51,early_visual,TPHATE,sherlock
3,2,5,0.003324082526131828,0.061973346524008724,0.06529742905014056,52,early_visual,TPHATE,sherlock
4,2,6,0.12459442724879953,-0.00043573044784360015,0.12415869680095593,52,early_visual,TPHATE,sherlock
5,2,7,0.051665701779218254,0.027389841736679382,0.07905554351589761,52,early_visual,TPHATE,sherlock
6,2,8,0.08373187524009705,0.04126875868264907,0.12500063392274613,52,early_visual,TPHATE,sherlock
7,2,9,0.07500556740481114,0.005022972537341406,0.08002853994215255,53,early_visual,TPHATE,sherlock
8,2,10,0.0239608747544049,0.0485014880782426,0.07246236283264751,52,early_visual,TPHATE,sherlock
9,2,11,0.06833349847921343,0.06570264771277311,0.1340361461919865,53,early_visual,TPHATE,sherlock
10,2,12,0.06073495531875255,0.04861004532548456,0.10934500064423712,53,early_visual,TPHATE,sherlock
11,2,13,0.07305465466887244,0.02445438309325468,0.09750903776212712,51,early_visual,TPHATE,sherlock
12,2,14,0.05478683163539512,0.06317769442306416,0.11796452605845928,54,early_visual,TPHATE,sherlock
13,2,15,0.09139324689748132,0.03373583833388388,0.1251290852313652,52,early_visual,TPHATE,sherlock
14,2,16,0.15972909692321668,-0.005100714623701965,0.1546283822995147,52,early_visual,TPHATE,sherlock
0,3,1,0.2104771673976476,-0.07657968227294146,0.13389748512470614,53,early_visual,TPHATE,sherlock
1,3,2,0.07235982403637223,0.00558657833495366,0.07794640237132587,51,early_visual,TPHATE,sherlock
2,3,4,0.09153421362479186,-0.018220282043294445,0.07331393158149742,51,early_visual,TPHATE,sherlock
3,3,5,-0.005412847993242281,0.0544050828829208,0.048992234889678514,52,early_visual,TPHATE,sherlock
4,3,6,0.11251786118736433,-0.017596181757450948,0.09492167942991338,52,early_visual,TPHATE,sherlock
5,3,7,-0.011114806382369651,0.03706727195426317,0.025952465571893544,52,early_visual,TPHATE,sherlock
6,3,8,-0.029812781445718983,0.052044183325777725,0.022231401880058742,52,early_visual,TPHATE,sherlock
7,3,9,-0.04506013515931365,0.05670619425562375,0.011646059096310096,53,early_visual,TPHATE,sherlock
8,3,10,0.0025180717061136864,0.0434636360653286,0.04598170777144228,52,early_visual,TPHATE,sherlock
9,3,11,0.13668765048536533,-0.0070245622935700795,0.12966308819179526,53,early_visual,TPHATE,sherlock
10,3,12,0.05625331653523146,0.034584844869187045,0.0908381614044185,53,early_visual,TPHATE,sherlock
11,3,13,0.014743265110839232,0.01593522132004519,0.030678486430884427,51,early_visual,TPHATE,sherlock
12,3,14,0.15816655387798326,-0.04518566170571367,0.1129808921722696,54,early_visual,TPHATE,sherlock
13,3,15,0.0795028602302905,0.033579241667782964,0.11308210189807352,52,early_visual,TPHATE,sherlock
14,3,16,0.007968313909892633,0.02035307561539736,0.028321389525289987,52,early_visual,TPHATE,sherlock
0,4,1,0.05485766959682764,0.0269439917515612,0.08180166134838883,53,early_visual,TPHATE,sherlock
1,4,2,0.06849588673719306,0.013934160778794958,0.08243004751598804,51,early_visual,TPHATE,sherlock
2,4,3,0.09246879416668297,0.01927265622360521,0.11174145039028817,52,early_visual,TPHATE,sherlock
3,4,5,0.01367450762639028,0.04635309630598584,0.060027603932376127,52,early_visual,TPHATE,sherlock
4,4,6,0.11067968166143813,-0.0109359803528107,0.0997437013086274,52,early_visual,TPHATE,sherlock
5,4,7,-0.04828455419080549,0.0703928751316126,0.02210832094080713,52,early_visual,TPHATE,sherlock
6,4,8,0.10157440910287843,0.007950313331579525,0.10952472243445796,52,early_visual,TPHATE,sherlock
7,4,9,0.06206718520017643,0.012465638013574806,0.07453282321375125,53,early_visual,TPHATE,sherlock
8,4,10,0.12927140934757655,0.01480723541456313,0.14407864476213966,52,early_visual,TPHATE,sherlock
9,4,11,0.08149193092111168,0.022930674293374517,0.10442260521448617,53,early_visual,TPHATE,sherlock
10,4,12,0.0007209492710131643,0.07859991617812828,0.07932086544914145,53,early_visual,TPHATE,sherlock
11,4,13,0.021569780292752017,0.054124345927900906,0.07569412622065293,51,early_visual,TPHATE,sherlock
12,4,14,0.08079883448285917,0.022858829636350917,0.10365766411921007,54,early_visual,TPHATE,sherlock
13,4,15,0.0933939719774855,0.03556735932078221,0.1289613312982677,52,early_visual,TPHATE,sherlock
14,4,16,0.009352080106327446,0.049239721113773005,0.058591801220100465,52,early_visual,TPHATE,sherlock
0,5,1,0.049368102594614716,0.100975931432191,0.15034403402680568,53,early_visual,TPHATE,sherlock
1,5,2,0.017473327593192284,0.11647731093613005,0.13395063852932232,51,early_visual,TPHATE,sherlock
2,5,3,0.07341972430866449,0.08649279997302382,0.15991252428168828,52,early_visual,TPHATE,sherlock
3,5,4,0.02538460783869748,0.10321813376533197,0.12860274160402946,51,early_visual,TPHATE,sherlock
4,5,6,0.1639199410678078,0.05710763814157939,0.2210275792093872,52,early_visual,TPHATE,sherlock
5,5,7,-0.02632616548946403,0.12430613653634155,0.09797997104687753,52,early_visual,TPHATE,sherlock
6,5,8,0.033167932957711865,0.11436207474661235,0.14753000770432426,52,early_visual,TPHATE,sherlock
7,5,9,0.09329782026381173,0.09609970028064213,0.18939752054445386,53,early_visual,TPHATE,sherlock
8,5,10,0.14852724448089066,0.0638543939542838,0.2123816384351744,52,early_visual,TPHATE,sherlock
9,5,11,0.1221829056579632,0.07245130181115425,0.19463420746911744,53,early_visual,TPHATE,sherlock
10,5,12,0.08791218106708619,0.09214280967016493,0.18005499073725112,53,early_visual,TPHATE,sherlock
11,5,13,0.08075208732082133,0.07719695706579928,0.1579490443866206,51,early_visual,TPHATE,sherlock
12,5,14,-0.03606827551625825,0.1494572915296563,0.11338901601339807,54,early_visual,TPHATE,sherlock
13,5,15,0.06667327547186569,0.07714099018392097,0.14381426565578664,52,early_visual,TPHATE,sherlock
14,5,16,0.04691959794550871,0.10025729133611977,0.1471768892816285,52,early_visual,TPHATE,sherlock
0,6,1,0.004910067140839543,0.08076589456556846,0.085675961706408,53,early_visual,TPHATE,sherlock
1,6,2,0.1133097682294542,0.060420926370976874,0.17373069460043108,51,early_visual,TPHATE,sherlock
2,6,3,0.10605178591575604,0.06915411893714682,0.17520590485290286,52,early_visual,TPHATE,sherlock
3,6,4,0.10146790889052933,0.05469701078095613,0.15616491967148546,51,early_visual,TPHATE,sherlock
4,6,5,0.06638252895991527,0.07684332934873596,0.14322585830865125,52,early_visual,TPHATE,sherlock
5,6,7,0.037025820838536366,0.05750369706659032,0.0945295179051267,52,early_visual,TPHATE,sherlock
6,6,8,0.01087013677826738,0.09630760248178266,0.10717773926005006,52,early_visual,TPHATE,sherlock
7,6,9,0.033384605684642306,0.07427086945955945,0.10765547514420176,53,early_visual,TPHATE,sherlock
8,6,10,0.10591200771968776,0.05525900913900167,0.16117101685868945,52,early_visual,TPHATE,sherlock
9,6,11,0.04243911018781246,0.09720558469193268,0.13964469487974515,53,early_visual,TPHATE,sherlock
10,6,12,0.0017432703283712903,0.11394288981311802,0.11568616014148927,53,early_visual,TPHATE,sherlock
11,6,13,0.05742277853787817,0.05734605146121621,0.1147688299990944,51,early_visual,TPHATE,sherlock
12,6,14,0.10728358394836747,0.06486226047140049,0.17214584441976793,54,early_visual,TPHATE,sherlock
13,6,15,0.061172236151665366,0.07024466204411405,0.13141689819577942,52,early_visual,TPHATE,sherlock
14,6,16,0.05345370893895135,0.0606897023346502,0.11414341127360154,52,early_visual,TPHATE,sherlock
0,7,1,0.019287137159862026,0.24290254495811625,0.2621896821179783,53,early_visual,TPHATE,sherlock
1,7,2,0.11773889173237904,0.18271132269474605,0.3004502144271251,51,early_visual,TPHATE,sherlock
2,7,3,0.16086516234743992,0.17772131589533516,0.3385864782427752,52,early_visual,TPHATE,sherlock
3,7,4,-0.013165632084971336,0.21150633173794414,0.1983406996529728,51,early_visual,TPHATE,sherlock
4,7,5,0.036293662666454035,0.2311430216875084,0.2674366843539625,52,early_visual,TPHATE,sherlock
5,7,6,0.06168117798345665,0.17497419761956942,0.23665537560302605,52,early_visual,TPHATE,sherlock
6,7,8,-0.0652586235085822,0.27626297703757113,0.21100435352898894,52,early_visual,TPHATE,sherlock
7,7,9,0.008918154718622697,0.23956617334272765,0.2484843280613503,53,early_visual,TPHATE,sherlock
8,7,10,0.07180295085164434,0.2326152820846092,0.30441823293625353,52,early_visual,TPHATE,sherlock
9,7,11,-0.025780098591708118,0.2900939782486925,0.26431387965698444,53,early_visual,TPHATE,sherlock
10,7,12,0.1078018930870812,0.2357088296248788,0.34351072271196,53,early_visual,TPHATE,sherlock
11,7,13,-0.02493770240233909,0.2491467748187641,0.22420907241642504,51,early_visual,TPHATE,sherlock
12,7,14,0.028698637556644924,0.2400856692335196,0.2687843067901645,54,early_visual,TPHATE,sherlock
13,7,15,0.08114755910259172,0.225458594110113,0.30660615321270474,52,early_visual,TPHATE,sherlock
14,7,16,-0.002397531845497107,0.23464412882380925,0.2322465969783121,52,early_visual,TPHATE,sherlock
0,8,1,-0.054216470106970914,0.17239384371620622,0.11817737360923534,53,early_visual,TPHATE,sherlock
1,8,2,0.1074265459988203,0.08983910950355346,0.19726565550237374,51,early_visual,TPHATE,sherlock
2,8,3,0.04270867830957372,0.1292046999744295,0.1719133782840032,52,early_visual,TPHATE,sherlock
3,8,4,0.033909590640235326,0.10540863728282204,0.13931822792305734,51,early_visual,TPHATE,sherlock
4,8,5,0.1345674935627956,0.07074238453614212,0.20530987809893766,52,early_visual,TPHATE,sherlock
5,8,6,0.11575697032386552,0.09917785389513467,0.21493482421900015,52,early_visual,TPHATE,sherlock
6,8,7,0.1132820479703642,0.0475548475786374,0.1608368955490016,52,early_visual,TPHATE,sherlock
7,8,9,0.10874649321038496,0.07833454471491691,0.18708103792530184,53,early_visual,TPHATE,sherlock
8,8,10,0.14277028849824813,0.08800733353120165,0.2307776220294498,52,early_visual,TPHATE,sherlock
9,8,11,0.07311468497444118,0.1165560971225459,0.1896707820969871,53,early_visual,TPHATE,sherlock
10,8,12,0.025392757394459942,0.1701179663442112,0.19551072373867115,53,early_visual,TPHATE,sherlock
11,8,13,0.11635017211143535,0.07252061583845362,0.18887078794988896,51,early_visual,TPHATE,sherlock
12,8,14,0.011469995695659102,0.13864380219974892,0.15011379789540802,54,early_visual,TPHATE,sherlock
13,8,15,0.0939397064076046,0.077734337751668,0.17167404415927262,52,early_visual,TPHATE,sherlock
14,8,16,0.13800529844585194,0.057112145491145926,0.19511744393699787,52,early_visual,TPHATE,sherlock
0,9,1,0.020166063687936442,0.03997866700396985,0.060144730691906276,53,early_visual,TPHATE,sherlock
1,9,2,0.16901292914961588,-0.013068495510418157,0.15594443363919772,51,early_visual,TPHATE,sherlock
2,9,3,0.01967754232892765,0.06826718362314822,0.08794472595207589,52,early_visual,TPHATE,sherlock
3,9,4,0.09336743956439307,0.0031129741824888943,0.09648041374688196,51,early_visual,TPHATE,sherlock
4,9,5,0.07314965580665855,0.025859468360845846,0.0990091241675044,52,early_visual,TPHATE,sherlock
5,9,6,0.06050873480367861,0.019948308986176864,0.08045704378985545,52,early_visual,TPHATE,sherlock
6,9,7,0.04770242218033883,0.022314330314785184,0.07001675249512403,52,early_visual,TPHATE,sherlock
7,9,8,0.13427677741970753,-0.005048328057472021,0.12922844936223551,52,early_visual,TPHATE,sherlock
8,9,10,0.09753601545882327,0.020695937410588082,0.11823195286941135,52,early_visual,TPHATE,sherlock
9,9,11,0.06500465396308913,0.04706396462648977,0.1120686185895789,53,early_visual,TPHATE,sherlock
10,9,12,0.06594327323023162,0.04906935339803989,0.11501262662827152,53,early_visual,TPHATE,sherlock
11,9,13,0.056255991268250385,0.01862423519576472,0.07488022646401511,51,early_visual,TPHATE,sherlock
12,9,14,0.0030628325693798602,0.05357822318966508,0.05664105575904496,54,early_visual,TPHATE,sherlock
13,9,15,0.1370272173936246,0.017195045030062018,0.1542222624236866,52,early_visual,TPHATE,sherlock
14,9,16,0.03655507762241808,0.04433677959656178,0.08089185721897986,52,early_visual,TPHATE,sherlock
0,10,1,-0.022564070666650126,0.05863132371744939,0.03606725305079927,53,early_visual,TPHATE,sherlock
1,10,2,0.015929490503709627,0.046150301299347635,0.06207979180305726,51,early_visual,TPHATE,sherlock
2,10,3,-0.006674566827217005,0.03593416721662841,0.029259600389411406,52,early_visual,TPHATE,sherlock
3,10,4,0.08517631654973867,-0.014341222768335554,0.07083509378140311,51,early_visual,TPHATE,sherlock
4,10,5,0.038223914871137,0.02998211635305488,0.06820603122419187,52,early_visual,TPHATE,sherlock
5,10,6,0.07657616162752083,0.0014795340302416302,0.07805569565776248,52,early_visual,TPHATE,sherlock
6,10,7,-0.028916499752346773,0.07694751027378653,0.04803101052143973,52,early_visual,TPHATE,sherlock
7,10,8,0.07759917475183761,0.02714301645491491,0.10474219120675253,52,early_visual,TPHATE,sherlock
8,10,9,0.12831642873900714,-0.02698552263000937,0.10133090610899778,53,early_visual,TPHATE,sherlock
9,10,11,0.0123455436166052,0.0854926992081645,0.0978382428247697,53,early_visual,TPHATE,sherlock
10,10,12,0.02973725158846636,0.06422823703878662,0.09396548862725301,53,early_visual,TPHATE,sherlock
11,10,13,0.06974509639481219,0.005268097778977511,0.07501319417378971,51,early_visual,TPHATE,sherlock
12,10,14,0.03294875860835711,0.03912597917079308,0.0720747377791502,54,early_visual,TPHATE,sherlock
13,10,15,0.05394696002940951,0.03621304524254338,0.09016000527195288,52,early_visual,TPHATE,sherlock
14,10,16,0.041052878564770974,0.039569421611875134,0.08062230017664611,52,early_visual,TPHATE,sherlock
0,11,1,0.01850837077725833,0.06714064433065785,0.08564901510791616,53,early_visual,TPHATE,sherlock
1,11,2,0.09395659164966756,0.034686334104801056,0.12864292575446862,51,early_visual,TPHATE,sherlock
2,11,3,0.0908520912962779,0.047048479807676576,0.13790057110395448,52,early_visual,TPHATE,sherlock
3,11,4,-0.014117955049013541,0.0764389351279268,0.06232098007891325,51,early_visual,TPHATE,sherlock
4,11,5,0.11905933728459092,0.0004912204412166011,0.11955055772580753,52,early_visual,TPHATE,sherlock
5,11,6,0.06618724241499689,0.037701443267841264,0.10388868568283817,52,early_visual,TPHATE,sherlock
6,11,7,0.020069229027888,0.026798565236440638,0.04686779426432862,52,early_visual,TPHATE,sherlock
7,11,8,0.10100131199564977,0.035807907980359585,0.1368092199760094,52,early_visual,TPHATE,sherlock
8,11,9,0.0608457976333207,0.04010512619853893,0.10095092383185968,53,early_visual,TPHATE,sherlock
9,11,10,0.01975675074470859,0.08063274326251715,0.10038949400722574,52,early_visual,TPHATE,sherlock
10,11,12,-0.03563958657070037,0.13423198213313287,0.09859239556243253,53,early_visual,TPHATE,sherlock
11,11,13,0.06882463111228111,0.04639780002821644,0.11522243114049754,51,early_visual,TPHATE,sherlock
12,11,14,0.02929955541748528,0.06248652823048896,0.09178608364797423,54,early_visual,TPHATE,sherlock
13,11,15,0.03729324070318957,0.06559690106253667,0.10289014176572624,52,early_visual,TPHATE,sherlock
14,11,16,0.10208272858035848,0.034470971602970336,0.1365537001833288,52,early_visual,TPHATE,sherlock
0,12,1,0.06261137037295375,0.17549516739263185,0.2381065377655856,53,early_visual,TPHATE,sherlock
1,12,2,0.009373060149311307,0.16219701143410248,0.17157007158341378,51,early_visual,TPHATE,sherlock
2,12,3,0.06559675059923563,0.13412123615165433,0.19971798675089,52,early_visual,TPHATE,sherlock
3,12,4,0.017425144247953297,0.164543151821717,0.18196829606967035,51,early_visual,TPHATE,sherlock
4,12,5,0.03551528916806613,0.16321645640316046,0.1987317455712265,52,early_visual,TPHATE,sherlock
5,12,6,0.09348808626415174,0.10364740925872712,0.19713549552287887,52,early_visual,TPHATE,sherlock
6,12,7,0.027132983376827863,0.057218157130653625,0.08435114050748148,52,early_visual,TPHATE,sherlock
7,12,8,0.024633846378885303,0.1829382176172768,0.20757206399616213,52,early_visual,TPHATE,sherlock
8,12,9,0.05072052770131028,0.16659918744177696,0.21731971514308726,53,early_visual,TPHATE,sherlock
9,12,10,0.017009453990695148,0.178973775785488,0.19598322977618315,52,early_visual,TPHATE,sherlock
10,12,11,-0.03607106034733645,0.2242429570547999,0.18817189670746354,53,early_visual,TPHATE,sherlock
11,12,13,0.0556748516478196,0.12981462368173716,0.1854894753295568,51,early_visual,TPHATE,sherlock
12,12,14,0.11875899568438003,0.1206769128091178,0.23943590849349786,54,early_visual,TPHATE,sherlock
13,12,15,0.0566759661751871,0.14345383421198565,0.2001298003871728,52,early_visual,TPHATE,sherlock
14,12,16,-0.04807663026592339,0.1881583330216875,0.1400817027557641,52,early_visual,TPHATE,sherlock
0,13,1,-0.006013402561607305,0.016277790743203017,0.010264388181595715,53,early_visual,TPHATE,sherlock
1,13,2,0.11083743357815264,-0.03827373373847018,0.07256369983968247,51,early_visual,TPHATE,sherlock
2,13,3,0.03669639582445143,0.002557350867099463,0.039253746691550906,52,early_visual,TPHATE,sherlock
3,13,4,-0.016540036764400152,0.007314495620228153,-0.009225541144172,51,early_visual,TPHATE,sherlock
4,13,5,0.020304567261787882,0.02224724548461957,0.04255181274640744,52,early_visual,TPHATE,sherlock
5,13,6,0.09186406613871116,-0.036321894626400106,0.05554217151231106,52,early_visual,TPHATE,sherlock
6,13,7,0.06181024472009487,-0.00957187185771097,0.05223837286238392,52,early_visual,TPHATE,sherlock
7,13,8,0.12065577350374962,-0.03422148372574425,0.08643428977800534,52,early_visual,TPHATE,sherlock
8,13,9,0.08468688184681454,-0.014079632461240953,0.07060724938557357,53,early_visual,TPHATE,sherlock
9,13,10,0.06516146022326892,-0.014330898613182269,0.050830561610086665,52,early_visual,TPHATE,sherlock
10,13,11,0.1169820113792436,-0.02543908187887212,0.09154292950037148,53,early_visual,TPHATE,sherlock
11,13,12,0.04790513980778032,0.005022375892927314,0.05292751570070763,53,early_visual,TPHATE,sherlock
12,13,14,0.11657650835355582,-0.029212287374132773,0.08736422097942306,54,early_visual,TPHATE,sherlock
13,13,15,0.060667156596887685,0.00251026499553096,0.06317742159241865,52,early_visual,TPHATE,sherlock
14,13,16,0.020645483368051238,0.010534057732214256,0.03117954110026548,52,early_visual,TPHATE,sherlock
0,14,1,0.0898929791618997,0.13707320940061998,0.2269661885625197,53,early_visual,TPHATE,sherlock
1,14,2,0.033176643271994564,0.16685393286194866,0.2000305761339432,51,early_visual,TPHATE,sherlock
2,14,3,-0.03493317489730804,0.19443924753359973,0.15950607263629168,52,early_visual,TPHATE,sherlock
3,14,4,-0.044659230926765145,0.18926843767346047,0.14460920674669533,51,early_visual,TPHATE,sherlock
4,14,5,0.10397233422765476,0.13616021094208053,0.2401325451697353,52,early_visual,TPHATE,sherlock
5,14,6,0.00878394270133718,0.15319525847197346,0.16197920117331066,52,early_visual,TPHATE,sherlock
6,14,7,0.052258869474147325,0.09494775736761772,0.14720662684176505,52,early_visual,TPHATE,sherlock
7,14,8,0.06913963972001408,0.1838172035854277,0.2529568433054418,52,early_visual,TPHATE,sherlock
8,14,9,-0.010229397139909994,0.1736358131502318,0.16340641601032174,53,early_visual,TPHATE,sherlock
9,14,10,0.02523251064049137,0.1999457587574494,0.2251782693979408,52,early_visual,TPHATE,sherlock
10,14,11,0.04663950189035872,0.15949386742869434,0.20613336931905307,53,early_visual,TPHATE,sherlock
11,14,12,-0.0029199053181023357,0.22937899340150936,0.22645908808340698,53,early_visual,TPHATE,sherlock
12,14,13,0.15576310701698495,0.085294052459359,0.241057159476344,51,early_visual,TPHATE,sherlock
13,14,15,0.0032997605177860845,0.19253848773845428,0.19583824825624035,52,early_visual,TPHATE,sherlock
14,14,16,0.012890019203809031,0.20510256460431933,0.21799258380812836,52,early_visual,TPHATE,sherlock
0,15,1,0.052340867715029736,0.10674579500501327,0.15908666272004302,53,early_visual,TPHATE,sherlock
1,15,2,0.15013658126636556,0.11401748266770136,0.2641540639340669,51,early_visual,TPHATE,sherlock
2,15,3,0.12888530957720412,0.135025656292718,0.2639109658699222,52,early_visual,TPHATE,sherlock
3,15,4,0.09156229958446427,0.14013670369400424,0.2316990032784685,51,early_visual,TPHATE,sherlock
4,15,5,0.008173139841242523,0.1424369964416593,0.15061013628290182,52,early_visual,TPHATE,sherlock
5,15,6,0.10365753628298,0.11986084375073905,0.22351838003371904,52,early_visual,TPHATE,sherlock
6,15,7,0.061031905966222086,0.1154104382493542,0.17644234421557628,52,early_visual,TPHATE,sherlock
7,15,8,0.05536255181278224,0.19538326926750896,0.25074582108029125,52,early_visual,TPHATE,sherlock
8,15,9,0.08326330241466524,0.13427205066471853,0.21753535307938374,53,early_visual,TPHATE,sherlock
9,15,10,0.053262478845187165,0.15738455342611588,0.21064703227130305,52,early_visual,TPHATE,sherlock
10,15,11,0.021567393309160292,0.15408098668787493,0.17564837999703514,53,early_visual,TPHATE,sherlock
11,15,12,0.1502956648384297,0.1323954561825643,0.28269112102099403,53,early_visual,TPHATE,sherlock
12,15,13,0.05548813954064676,0.13224102071008806,0.18772916025073488,51,early_visual,TPHATE,sherlock
13,15,14,0.0004855506214394178,0.19284428328063985,0.1933298339020793,54,early_visual,TPHATE,sherlock
14,15,16,-0.027826129371054987,0.20324927680556126,0.17542314743450635,52,early_visual,TPHATE,sherlock
0,16,1,0.003777560764428673,0.15363697193646028,0.15741453270088895,53,early_visual,TPHATE,sherlock
1,16,2,0.12398250368205092,0.08709600138589647,0.2110785050679474,51,early_visual,TPHATE,sherlock
2,16,3,-0.01969963754508855,0.16572294292758905,0.14602330538250052,52,early_visual,TPHATE,sherlock
3,16,4,-0.0006886091742970818,0.13740809399559026,0.13671948482129315,51,early_visual,TPHATE,sherlock
4,16,5,0.03693984005488335,0.1300031626203982,0.1669430026752816,52,early_visual,TPHATE,sherlock
5,16,6,0.0465256936469763,0.12380158089953255,0.17032727454650887,52,early_visual,TPHATE,sherlock
6,16,7,0.06017027511725441,0.08159734780565582,0.14176762292291026,52,early_visual,TPHATE,sherlock
7,16,8,0.0745237033110683,0.12060421783445065,0.19512792114551894,52,early_visual,TPHATE,sherlock
8,16,9,0.1109477058105795,0.10690079407352472,0.2178484998841042,53,early_visual,TPHATE,sherlock
9,16,10,-0.0049216342064377855,0.1661532819430941,0.1612316477366563,52,early_visual,TPHATE,sherlock
10,16,11,0.020395957815072058,0.15581481082382864,0.1762107686389007,53,early_visual,TPHATE,sherlock
11,16,12,0.01990217283599674,0.17326201521032866,0.19316418804632535,53,early_visual,TPHATE,sherlock
12,16,13,-0.07301902897510096,0.1353941016813355,0.062375072706234574,51,early_visual,TPHATE,sherlock
13,16,14,-0.047349864948539135,0.18000640917793004,0.1326565442293909,54,early_visual,TPHATE,sherlock
14,16,15,0.01525030115010764,0.1696292994813627,0.18487960063147035,52,early_visual,TPHATE,sherlock
