,subject,embed_method,CV_M,avg_within,avg_between,avg_difference,ROI
0,1,TPHATE,5,-0.031057837811845925,-0.04889636735602536,0.017838529544179426,early_visual
1,2,TPHATE,6,0.014628705833277742,-0.0327355149147241,0.04736422074800184,early_visual
2,3,TPHATE,5,-0.038086143952830595,-0.027163742150331058,-0.010922401802499529,early_visual
3,4,TPHATE,5,-0.050328818393050416,-0.03262815004513805,-0.017700668347912354,early_visual
4,5,TPHATE,5,0.06721441407457948,0.05369223588939501,0.013522178185184468,early_visual
5,6,TPHATE,5,0.017132126311994768,0.022220696037404713,-0.0050885697254099554,early_visual
6,7,TPHATE,6,0.11008868018076619,0.011723669103414353,0.09836501107735185,early_visual
7,8,TPHATE,6,0.03961396479353268,0.02389101790718484,0.01572294688634783,early_visual
8,9,TPHATE,6,0.07382779348613316,0.013279153147463467,0.0605486403386697,early_visual
9,10,TPHATE,5,-0.008734523985234416,-0.022532731351828483,0.013798207366594066,early_visual
10,11,TPHATE,6,-0.0044713928523687175,-0.017010061182398454,0.012538668330029736,early_visual
11,12,TPHATE,6,-0.03441288742410606,-0.019665805660692096,-0.014747081763413964,early_visual
12,13,TPHATE,5,-0.030022002556027178,-0.008325292133390413,-0.021696710422636756,early_visual
13,14,TPHATE,5,0.08423468722807619,0.02395499026883027,0.06027969695924591,early_visual
14,15,TPHATE,5,0.04247739042475318,0.04148981883668002,0.0009875715880731531,early_visual
15,16,TPHATE,6,0.09608548466181369,-0.021577099353372067,0.11766258401518571,early_visual
