,subject,embedding_dimensions,embed_method,clf_accuracy,clf_sd,ROI
0,1,3,TSNE,0.4503205128205128,0.008327167344081135,high_Visual
1,2,3,TSNE,0.4439102564102564,0.050550674024318926,high_Visual
2,3,3,TSNE,0.3573717948717949,0.021440846410672516,high_Visual
3,4,3,TSNE,0.34455128205128205,0.025790828428575444,high_Visual
4,6,3,TSNE,0.3637820512820513,0.006985414973622865,high_Visual
5,9,3,TSNE,0.4919871794871795,0.02095624492086863,high_Visual
6,10,3,TSNE,0.3878205128205128,0.025840569706085083,high_Visual
7,14,3,TSNE,0.3701923076923077,0.012309528442097123,high_Visual
8,15,3,TSNE,0.3782051282051282,0.013598207330510526,high_Visual
9,16,3,TSNE,0.40865384615384615,0.056318215996171726,high_Visual
10,17,3,TSNE,0.3525641025641026,0.0235527859882998,high_Visual
11,18,3,TSNE,0.4855769230769231,0.018893952119473697,high_Visual
12,19,3,TSNE,0.4118589743589744,0.030194621284321762,high_Visual
13,20,3,TSNE,0.3349358974358974,0.03692858532629138,high_Visual
0,1,20,SMOOTH_PHATE,0.44711538461538464,0.021440846410672527,early_visual
1,2,20,SMOOTH_PHATE,0.4919871794871794,0.03856156863947425,early_visual
2,3,20,SMOOTH_PHATE,0.3317307692307692,0.029506334358208295,early_visual
3,4,20,SMOOTH_PHATE,0.3301282051282052,0.051382113916286526,early_visual
4,6,20,SMOOTH_PHATE,0.45352564102564097,0.04163583672040571,early_visual
5,9,20,SMOOTH_PHATE,0.48397435897435903,0.022435897435897426,early_visual
6,10,20,SMOOTH_PHATE,0.3205128205128205,0.04775533469792097,early_visual
7,14,20,SMOOTH_PHATE,0.3685897435897436,0.014687742612037941,early_visual
8,15,20,SMOOTH_PHATE,0.3733974358974359,0.020460168805775173,early_visual
9,16,20,SMOOTH_PHATE,0.4727564102564102,0.023715782991905014,early_visual
10,17,20,SMOOTH_PHATE,0.3669871794871795,0.050955490690976435,early_visual
11,18,20,SMOOTH_PHATE,0.6474358974358975,0.0326860225230307,early_visual
12,19,20,SMOOTH_PHATE,0.4583333333333333,0.01949603375095584,early_visual
13,20,20,SMOOTH_PHATE,0.3685897435897436,0.0322111398112849,early_visual
0,1,20,ISOMAP,0.40384615384615385,0.028306925853614894,early_visual
1,2,20,ISOMAP,0.4887820512820513,0.038294240850476016,early_visual
2,3,20,ISOMAP,0.2996794871794872,0.050550674024318926,early_visual
3,4,20,ISOMAP,0.3092948717948718,0.020956244920868616,early_visual
4,6,20,ISOMAP,0.35897435897435903,0.016343011261515338,early_visual
5,9,20,ISOMAP,0.4599358974358975,0.03373007240360449,early_visual
6,10,20,ISOMAP,0.3012820512820513,0.03925464331383298,early_visual
7,14,20,ISOMAP,0.3237179487179487,0.009615384615384606,early_visual
8,15,20,ISOMAP,0.33974358974358976,0.015033383845587918,early_visual
9,16,20,ISOMAP,0.3862179487179488,0.04718728161645981,early_visual
10,17,20,ISOMAP,0.2916666666666667,0.0411706172393113,early_visual
11,18,20,ISOMAP,0.9150641025641024,0.010508715583817314,early_visual
12,19,20,ISOMAP,0.3798076923076924,0.03280366905522231,early_visual
13,20,20,ISOMAP,0.3076923076923077,0.019230769230769218,early_visual
0,1,20,ISOMAP,0.4439102564102565,0.0241450627777554,high_Visual
1,2,20,ISOMAP,0.4503205128205128,0.02880160377501832,high_Visual
2,3,20,ISOMAP,0.3413461538461538,0.030532946928297517,high_Visual
3,4,20,ISOMAP,0.3669871794871795,0.0219147345050919,high_Visual
4,6,20,ISOMAP,0.3685897435897436,0.01665433468816227,high_Visual
5,9,20,ISOMAP,0.4807692307692308,0.050677526605262514,high_Visual
6,10,20,ISOMAP,0.3621794871794872,0.03778790423894742,high_Visual
7,14,20,ISOMAP,0.3942307692307692,0.017260143612610596,high_Visual
8,15,20,ISOMAP,0.4230769230769231,0.02643016426677986,high_Visual
9,16,20,ISOMAP,0.3894230769230769,0.043328544341653126,high_Visual
10,17,20,ISOMAP,0.3557692307692307,0.013215082133389934,high_Visual
11,18,20,ISOMAP,0.9054487179487181,0.002775722448027037,high_Visual
12,19,20,ISOMAP,0.4342948717948718,0.04472847992613098,high_Visual
13,20,20,ISOMAP,0.34134615384615385,0.061212914278154736,high_Visual
0,1,20,PHATE_TIME,0.3766025641025641,0.008327167344081156,early_visual
1,2,20,PHATE_TIME,0.3701923076923077,0.0027757224480270608,early_visual
2,3,20,PHATE_TIME,0.38461538461538464,0.0,early_visual
3,4,20,PHATE_TIME,0.3814102564102564,0.003205128205128221,early_visual
4,6,20,PHATE_TIME,0.3782051282051282,0.011102889792108194,early_visual
