,ROI,dataset,subject,embed_method,regressor,shift_by,num_reps,embed_dimensions,zstat,p-value
0,high_Visual,forrest,1,SMOOTH_PHATE,IoE_coded,3,1000,20,1.6169988448218082,0.05293926513194939
1,high_Visual,forrest,2,SMOOTH_PHATE,IoE_coded,3,1000,20,0.6409481139015037,0.26077819717425954
2,high_Visual,forrest,3,SMOOTH_PHATE,IoE_coded,3,1000,20,1.5667078892019637,0.05859149295321664
3,high_Visual,forrest,4,SMOOTH_PHATE,IoE_coded,3,1000,20,1.0563745238988842,0.1453985702356803
4,high_Visual,forrest,6,SMOOTH_PHATE,IoE_coded,3,1000,20,2.1296921705882417,0.0165985179037428
5,high_Visual,forrest,9,SMOOTH_PHATE,IoE_coded,3,1000,20,1.1078160235443042,0.1339706392453095
6,high_Visual,forrest,10,SMOOTH_PHATE,IoE_coded,3,1000,20,1.7096478777870314,0.04366550324171816
7,high_Visual,forrest,14,SMOOTH_PHATE,IoE_coded,3,1000,20,1.694878732502413,0.045049213882206215
8,high_Visual,forrest,15,SMOOTH_PHATE,IoE_coded,3,1000,20,1.496043475129674,0.0673211631369467
9,high_Visual,forrest,16,SMOOTH_PHATE,IoE_coded,3,1000,20,1.7177297507738207,0.04292296008576441
10,high_Visual,forrest,17,SMOOTH_PHATE,IoE_coded,3,1000,20,1.5657760107654353,0.058700532100778975
11,high_Visual,forrest,18,SMOOTH_PHATE,IoE_coded,3,1000,20,1.7586327050937676,0.03931995712056133
12,high_Visual,forrest,19,SMOOTH_PHATE,IoE_coded,3,1000,20,2.01850695397958,0.0217692453327791
13,high_Visual,forrest,20,SMOOTH_PHATE,IoE_coded,3,1000,20,2.0125601932332158,0.022080459129089344
14,high_Visual,forrest,1,SMOOTH_PHATE,FoT_coded,3,1000,20,1.5140808900050398,0.06500266241584711
15,high_Visual,forrest,2,SMOOTH_PHATE,FoT_coded,3,1000,20,1.6497880271584628,0.04949314921146633
16,high_Visual,forrest,3,SMOOTH_PHATE,FoT_coded,3,1000,20,2.0465623699003275,0.02035053638074671
17,high_Visual,forrest,4,SMOOTH_PHATE,FoT_coded,3,1000,20,1.6058219827615219,0.05415651458955628
18,high_Visual,forrest,6,SMOOTH_PHATE,FoT_coded,3,1000,20,1.3863513752930117,0.08281981819445787
19,high_Visual,forrest,9,SMOOTH_PHATE,FoT_coded,3,1000,20,2.0180044856247403,0.021795397082164488
20,high_Visual,forrest,10,SMOOTH_PHATE,FoT_coded,3,1000,20,1.856603575066104,0.031683787470749625
21,high_Visual,forrest,14,SMOOTH_PHATE,FoT_coded,3,1000,20,1.8074699319848992,0.035344519387739415
22,high_Visual,forrest,15,SMOOTH_PHATE,FoT_coded,3,1000,20,1.6835673352212617,0.04613265797847317
23,high_Visual,forrest,16,SMOOTH_PHATE,FoT_coded,3,1000,20,1.9315933753057573,0.02670485708225513
24,high_Visual,forrest,17,SMOOTH_PHATE,FoT_coded,3,1000,20,1.8204027936543488,0.03434884365836621
25,high_Visual,forrest,18,SMOOTH_PHATE,FoT_coded,3,1000,20,1.9440833120008592,0.025942702661623462
26,high_Visual,forrest,19,SMOOTH_PHATE,FoT_coded,3,1000,20,2.040857229676686,0.02063251006357096
27,high_Visual,forrest,20,SMOOTH_PHATE,FoT_coded,3,1000,20,1.7206322885071033,0.042658785240162034
0,early_visual,forrest,1,voxel,IoE_coded,3,1000,20,1.5022302276434358,0.06651883040439023
1,early_visual,forrest,2,voxel,IoE_coded,3,1000,20,1.871392122977864,0.030645374958748813
2,early_visual,forrest,3,voxel,IoE_coded,3,1000,20,0.7085750905257089,0.2392940993385547
3,early_visual,forrest,4,voxel,IoE_coded,3,1000,20,-0.0554017859362264,0.52209081347332
4,early_visual,forrest,6,voxel,IoE_coded,3,1000,20,1.8986656892886469,0.02880422274865231
5,early_visual,forrest,9,voxel,IoE_coded,3,1000,20,1.4765249296971996,0.06990151392655332
6,early_visual,forrest,10,voxel,IoE_coded,3,1000,20,1.3712232088073322,0.08515269269180581
7,early_visual,forrest,14,voxel,IoE_coded,3,1000,20,1.7684053798426351,0.03849657891853756
8,early_visual,forrest,15,voxel,IoE_coded,3,1000,20,1.7062183951091825,0.04398371253235762
9,early_visual,forrest,16,voxel,IoE_coded,3,1000,20,2.1029591875130937,0.01773466862037409
10,early_visual,forrest,17,voxel,IoE_coded,3,1000,20,0.9276971354966764,0.17678234738964166
11,early_visual,forrest,18,voxel,IoE_coded,3,1000,20,1.2086390760000532,0.11340076855539305
12,early_visual,forrest,19,voxel,IoE_coded,3,1000,20,1.0221121655358911,0.1533639079514761
13,early_visual,forrest,20,voxel,IoE_coded,3,1000,20,1.584029798128863,0.05659346912311548
