,ROI,dataset,comparison,yname,observed_diff,pvalue_uncorrected,pvalue_corrected,feature
0,early_visual,forrest,TPHATE_v_voxel,zstat,0.5078020474671484,0.001998001998001998,0.007992007992007992,IoE_coded
1,early_visual,forrest,TPHATE_v_PCA,zstat,0.6107449367165128,0.002997002997002997,0.011988011988011988,IoE_coded
2,early_visual,forrest,TPHATE_v_UMAP,zstat,1.3819349908317942,0.000999000999000999,0.003996003996003996,IoE_coded
3,early_visual,forrest,TPHATE_v_PHATE,zstat,1.5110602256624808,0.000999000999000999,0.003996003996003996,IoE_coded
4,pmc_nn,forrest,TPHATE_v_voxel,zstat,0.9922678997470195,0.001998001998001998,0.007992007992007992,IoE_coded
5,pmc_nn,forrest,TPHATE_v_PCA,zstat,0.6763492247268984,0.007992007992007992,0.03196803196803197,IoE_coded
6,pmc_nn,forrest,TPHATE_v_UMAP,zstat,2.4175268214687162,0.000999000999000999,0.003996003996003996,IoE_coded
7,pmc_nn,forrest,TPHATE_v_PHATE,zstat,2.225676114483496,0.000999000999000999,0.003996003996003996,IoE_coded
8,high_Visual,forrest,TPHATE_v_voxel,zstat,0.08886785866727824,0.08791208791208792,0.3516483516483517,IoE_coded
9,high_Visual,forrest,TPHATE_v_PCA,zstat,0.2745282258621369,0.02097902097902098,0.08391608391608392,IoE_coded
10,high_Visual,forrest,TPHATE_v_UMAP,zstat,1.6217172332896903,0.001998001998001998,0.007992007992007992,IoE_coded
11,high_Visual,forrest,TPHATE_v_PHATE,zstat,1.2222834007388632,0.000999000999000999,0.003996003996003996,IoE_coded
12,aud_early,forrest,TPHATE_v_voxel,zstat,,,,IoE_coded
13,aud_early,forrest,TPHATE_v_PCA,zstat,0.5661597491270868,0.002997002997002997,0.011988011988011988,IoE_coded
14,aud_early,forrest,TPHATE_v_UMAP,zstat,1.2004133750149735,0.000999000999000999,0.003996003996003996,IoE_coded
15,aud_early,forrest,TPHATE_v_PHATE,zstat,1.2784073291420637,0.000999000999000999,0.003996003996003996,IoE_coded
0,early_visual,forrest,TPHATE_v_voxel,zstat,0.1506448791325457,0.12787212787212787,0.5114885114885115,FoT_coded
1,early_visual,forrest,TPHATE_v_PCA,zstat,0.6124404949693262,0.011988011988011988,0.04795204795204795,FoT_coded
2,early_visual,forrest,TPHATE_v_UMAP,zstat,1.9593162038257141,0.000999000999000999,0.003996003996003996,FoT_coded
3,early_visual,forrest,TPHATE_v_PHATE,zstat,1.8985869759259342,0.000999000999000999,0.003996003996003996,FoT_coded
4,pmc_nn,forrest,TPHATE_v_voxel,zstat,1.195281681453689,0.000999000999000999,0.003996003996003996,FoT_coded
5,pmc_nn,forrest,TPHATE_v_PCA,zstat,1.1690082742498231,0.000999000999000999,0.003996003996003996,FoT_coded
6,pmc_nn,forrest,TPHATE_v_UMAP,zstat,1.3326479596506053,0.000999000999000999,0.003996003996003996,FoT_coded
7,pmc_nn,forrest,TPHATE_v_PHATE,zstat,1.8675661982106013,0.000999000999000999,0.003996003996003996,FoT_coded
8,high_Visual,forrest,TPHATE_v_voxel,zstat,0.23419668535891455,0.03796203796203796,0.15184815184815184,FoT_coded
9,high_Visual,forrest,TPHATE_v_PCA,zstat,0.17616533815492982,0.024975024975024976,0.0999000999000999,FoT_coded
10,high_Visual,forrest,TPHATE_v_UMAP,zstat,1.3874321771533444,0.000999000999000999,0.003996003996003996,FoT_coded
11,high_Visual,forrest,TPHATE_v_PHATE,zstat,1.1235515354745207,0.000999000999000999,0.003996003996003996,FoT_coded
12,aud_early,forrest,TPHATE_v_voxel,zstat,,,,FoT_coded
13,aud_early,forrest,TPHATE_v_PCA,zstat,0.371708897772427,0.025974025974025976,0.1038961038961039,FoT_coded
14,aud_early,forrest,TPHATE_v_UMAP,zstat,1.5978119431760478,0.000999000999000999,0.003996003996003996,FoT_coded
15,aud_early,forrest,TPHATE_v_PHATE,zstat,1.4798347399027212,0.000999000999000999,0.003996003996003996,FoT_coded
0,aud_early,sherlock,TPHATE_v_voxel,zstat,-0.10958242493400433,0.8091908091908092,3.236763236763237,IndoorOutdoor
1,aud_early,sherlock,TPHATE_v_PCA,zstat,0.4642643311342322,0.003996003996003996,0.015984015984015984,IndoorOutdoor
2,aud_early,sherlock,TPHATE_v_UMAP,zstat,2.8729620939495435,0.000999000999000999,0.003996003996003996,IndoorOutdoor
3,aud_early,sherlock,TPHATE_v_PHATE,zstat,1.9664265464435386,0.000999000999000999,0.003996003996003996,IndoorOutdoor
4,pmc_nn,sherlock,TPHATE_v_voxel,zstat,0.3250656974109891,0.006993006993006993,0.027972027972027972,IndoorOutdoor
5,pmc_nn,sherlock,TPHATE_v_PCA,zstat,0.8744144149773941,0.000999000999000999,0.003996003996003996,IndoorOutdoor
6,pmc_nn,sherlock,TPHATE_v_UMAP,zstat,4.2717114218302035,0.000999000999000999,0.003996003996003996,IndoorOutdoor
7,pmc_nn,sherlock,TPHATE_v_PHATE,zstat,2.9689063185440525,0.000999000999000999,0.003996003996003996,IndoorOutdoor
8,high_Visual,sherlock,TPHATE_v_voxel,zstat,0.006429160665621769,0.45354645354645357,1.8141858141858143,IndoorOutdoor
9,high_Visual,sherlock,TPHATE_v_PCA,zstat,0.33712048168241127,0.001998001998001998,0.007992007992007992,IndoorOutdoor
10,high_Visual,sherlock,TPHATE_v_UMAP,zstat,3.2098363873724054,0.000999000999000999,0.003996003996003996,IndoorOutdoor
11,high_Visual,sherlock,TPHATE_v_PHATE,zstat,1.5001749479935407,0.000999000999000999,0.003996003996003996,IndoorOutdoor
12,early_visual,sherlock,TPHATE_v_voxel,zstat,0.0587958094875477,0.2997002997002997,1.1988011988011988,IndoorOutdoor
13,early_visual,sherlock,TPHATE_v_PCA,zstat,0.12661730548292,0.15084915084915085,0.6033966033966034,IndoorOutdoor
14,early_visual,sherlock,TPHATE_v_UMAP,zstat,1.5704344918946074,0.000999000999000999,0.003996003996003996,IndoorOutdoor
15,early_visual,sherlock,TPHATE_v_PHATE,zstat,1.657395441785056,0.000999000999000999,0.003996003996003996,IndoorOutdoor
0,aud_early,sherlock,TPHATE_v_voxel,zstat,0.6658500633366001,0.001998001998001998,0.007992007992007992,MusicPresent
1,aud_early,sherlock,TPHATE_v_PCA,zstat,1.4249397439277955,0.000999000999000999,0.003996003996003996,MusicPresent
2,aud_early,sherlock,TPHATE_v_UMAP,zstat,5.3406395683161545,0.000999000999000999,0.003996003996003996,MusicPresent
3,aud_early,sherlock,TPHATE_v_PHATE,zstat,3.7340956997676624,0.000999000999000999,0.003996003996003996,MusicPresent
4,pmc_nn,sherlock,TPHATE_v_voxel,zstat,1.6120192490470586,0.000999000999000999,0.003996003996003996,MusicPresent
5,pmc_nn,sherlock,TPHATE_v_PCA,zstat,2.2409191473833032,0.000999000999000999,0.003996003996003996,MusicPresent
6,pmc_nn,sherlock,TPHATE_v_UMAP,zstat,6.529670409420078,0.000999000999000999,0.003996003996003996,MusicPresent
7,pmc_nn,sherlock,TPHATE_v_PHATE,zstat,5.4781955338781865,0.000999000999000999,0.003996003996003996,MusicPresent
8,high_Visual,sherlock,TPHATE_v_voxel,zstat,0.7080497895740931,0.000999000999000999,0.003996003996003996,MusicPresent
9,high_Visual,sherlock,TPHATE_v_PCA,zstat,1.4433260106537724,0.001998001998001998,0.007992007992007992,MusicPresent
10,high_Visual,sherlock,TPHATE_v_UMAP,zstat,5.570398631865842,0.000999000999000999,0.003996003996003996,MusicPresent
11,high_Visual,sherlock,TPHATE_v_PHATE,zstat,3.398273216577274,0.000999000999000999,0.003996003996003996,MusicPresent
12,early_visual,sherlock,TPHATE_v_voxel,zstat,0.987692973717115,0.000999000999000999,0.003996003996003996,MusicPresent
13,early_visual,sherlock,TPHATE_v_PCA,zstat,1.7518987351846007,0.000999000999000999,0.003996003996003996,MusicPresent
14,early_visual,sherlock,TPHATE_v_UMAP,zstat,3.5843630354655502,0.000999000999000999,0.003996003996003996,MusicPresent
15,early_visual,sherlock,TPHATE_v_PHATE,zstat,4.498032484001536,0.000999000999000999,0.003996003996003996,MusicPresent
