,subject,ROI,avg_difference,embed_method
0,1,early_visual,-0.0034008261623872443,PHATE
1,2,early_visual,0.011556692334205152,PHATE
2,3,early_visual,-0.005788838920446711,PHATE
3,4,early_visual,-0.016859965968078167,PHATE
4,5,early_visual,-0.007236304449740215,PHATE
5,6,early_visual,0.0044699455407619815,PHATE
6,7,early_visual,-0.006363255178208007,PHATE
7,8,early_visual,-0.004451777247192146,PHATE
8,9,early_visual,0.010920171063807615,PHATE
9,10,early_visual,0.01641006771904396,PHATE
10,11,early_visual,0.005731980309062262,PHATE
11,12,early_visual,-0.01057119924674513,PHATE
12,13,early_visual,0.002527060527440454,PHATE
13,14,early_visual,-0.009103676224469151,PHATE
14,15,early_visual,-0.024005250230609856,PHATE
15,16,early_visual,0.014495719861638896,PHATE
16,1,early_visual,0.028465292981420462,TPHATE
17,2,early_visual,0.04494491675633753,TPHATE
18,3,early_visual,-0.0095468071742025,TPHATE
19,4,early_visual,0.012380398492931969,TPHATE
20,5,early_visual,0.03890383318575883,TPHATE
21,6,early_visual,-0.01270072113688344,TPHATE
22,7,early_visual,0.0846485836578679,TPHATE
23,8,early_visual,0.019064500072908133,TPHATE
24,9,early_visual,0.0337170441614615,TPHATE
25,10,early_visual,0.01911090023838577,TPHATE
26,11,early_visual,0.009789717177087832,TPHATE
27,12,early_visual,-0.005366399120714768,TPHATE
28,13,early_visual,-0.02486660145251708,TPHATE
29,14,early_visual,0.06567751991866684,TPHATE
30,15,early_visual,0.004646576317827524,TPHATE
31,16,early_visual,0.0811960454087445,TPHATE
32,1,early_visual,0.009815375909871324,UMAP
33,2,early_visual,0.005574498602354333,UMAP
34,3,early_visual,-0.0039021166524235416,UMAP
35,4,early_visual,-0.0095839116907384,UMAP
36,5,early_visual,0.000302867498316872,UMAP
37,6,early_visual,0.0014764904445796214,UMAP
38,7,early_visual,0.02565504919751934,UMAP
39,8,early_visual,-0.011944125790528677,UMAP
40,9,early_visual,0.00053199579170115,UMAP
41,10,early_visual,0.007054014404025369,UMAP
42,11,early_visual,-0.01153409389114288,UMAP
43,12,early_visual,-0.012481215240057705,UMAP
44,13,early_visual,0.0016352074060275018,UMAP
45,14,early_visual,0.0003264843275902404,UMAP
46,15,early_visual,-0.03583159422096497,UMAP
47,16,early_visual,0.009073206874239676,UMAP
48,1,early_visual,0.008222796692770843,PCA
49,2,early_visual,0.010178943442272569,PCA
50,3,early_visual,-0.010284612620796408,PCA
51,4,early_visual,-0.011369985159008177,PCA
52,5,early_visual,0.0019279413295489136,PCA
53,6,early_visual,0.003441622709919192,PCA
54,7,early_visual,-0.00620001041041193,PCA
55,8,early_visual,-0.002851323250746719,PCA
56,9,early_visual,-0.004562737054065621,PCA
57,10,early_visual,-0.0014837158248616608,PCA
58,11,early_visual,-0.0030210476426213127,PCA
59,12,early_visual,-0.012810591179144862,PCA
60,13,early_visual,0.0012496282406723874,PCA
61,14,early_visual,-0.007707958621854752,PCA
62,15,early_visual,-0.016277832299405368,PCA
63,16,early_visual,0.019597610006493345,PCA
64,1,early_visual,0.008005961124695671,LLE
65,2,early_visual,0.016287553722567974,LLE
66,3,early_visual,-0.010782573976993544,LLE
67,4,early_visual,-0.007402891808679151,LLE
68,5,early_visual,0.0025150514858504032,LLE
69,6,early_visual,-0.015979965075767245,LLE
70,7,early_visual,0.004132521557278764,LLE
71,8,early_visual,0.00013272858132293766,LLE
72,9,early_visual,0.02794406311596623,LLE
73,10,early_visual,0.024478132974124683,LLE
74,11,early_visual,-0.00544485083288763,LLE
75,12,early_visual,-0.015418739985605622,LLE
76,13,early_visual,0.004226374256048256,LLE
77,14,early_visual,-0.008650477622936834,LLE
78,15,early_visual,-0.010907850921136431,LLE
79,16,early_visual,0.007938371255998531,LLE
80,1,early_visual,0.0028933126385995013,ISOMAP
81,2,early_visual,0.011522774943763772,ISOMAP
82,3,early_visual,0.007680001646813502,ISOMAP
83,4,early_visual,-0.013673695562110668,ISOMAP
84,5,early_visual,-0.007692384158499294,ISOMAP
85,6,early_visual,-0.0058902779978819205,ISOMAP
86,7,early_visual,-0.00840537016956678,ISOMAP
87,8,early_visual,-0.003520535262519824,ISOMAP
88,9,early_visual,0.0017662527786182476,ISOMAP
89,10,early_visual,0.007638276174814634,ISOMAP
90,11,early_visual,-0.0006176492685121196,ISOMAP
91,12,early_visual,-0.015868831307552463,ISOMAP
92,13,early_visual,0.0026764934079947424,ISOMAP
93,14,early_visual,-0.0024893369441027343,ISOMAP
94,15,early_visual,-0.016291298062687358,ISOMAP
95,16,early_visual,0.018746924479579773,ISOMAP
96,1,early_visual,0.026723252325608148,SMOOTH_PHATE
97,2,early_visual,0.23172769858271014,SMOOTH_PHATE
98,3,early_visual,0.012614567554106094,SMOOTH_PHATE
99,4,early_visual,0.002766063286611557,SMOOTH_PHATE
100,5,early_visual,0.010614956770305686,SMOOTH_PHATE
101,6,early_visual,0.042490298084228835,SMOOTH_PHATE
102,7,early_visual,-0.07486707614780068,SMOOTH_PHATE
103,8,early_visual,0.10990748977191836,SMOOTH_PHATE
104,9,early_visual,0.018237324483528158,SMOOTH_PHATE
105,10,early_visual,0.025822018333180714,SMOOTH_PHATE
106,11,early_visual,0.011658755158369779,SMOOTH_PHATE
107,12,early_visual,-0.10168868600038833,SMOOTH_PHATE
108,13,early_visual,0.005923489674172297,SMOOTH_PHATE
109,14,early_visual,-0.04816951544426326,SMOOTH_PHATE
110,15,early_visual,0.1060949720308456,SMOOTH_PHATE
111,16,early_visual,0.08198357221351397,SMOOTH_PHATE
112,1,early_visual,0.06193413680628052,PHATE_TIME
113,2,early_visual,0.06381365207745866,PHATE_TIME
114,3,early_visual,0.2505328771513129,PHATE_TIME
115,4,early_visual,-0.16167163499844678,PHATE_TIME
116,5,early_visual,-0.18452848854994092,PHATE_TIME
117,6,early_visual,-0.034625535184057456,PHATE_TIME
118,7,early_visual,-0.0643535092246413,PHATE_TIME
119,8,early_visual,-0.11891285351211126,PHATE_TIME
120,9,early_visual,0.043531823452713996,PHATE_TIME
