,method,sigma,alpha,demap,features
0,TPHATE,0.5,3,0.9881278680200313,20
1,LLE,0.5,3,0.8868798467546938,20
2,ISOMAP,0.5,3,0.999359590072005,20
3,TSNE,0.5,3,0.928330194440604,20
4,PHATE,0.5,3,0.9893465992274363,20
5,PCA,0.5,3,0.999359590072005,20
6,UMAP,0.5,3,0.9895421048160175,20
7,TPHATE,1.0,3,0.9881082073920202,20
8,LLE,1.0,3,0.8857974874323157,20
9,ISOMAP,1.0,3,0.999359590072005,20
10,TSNE,1.0,3,0.9159686315109589,20
11,PHATE,1.0,3,0.9887677493475193,20
12,PCA,1.0,3,0.999359590072005,20
13,UMAP,1.0,3,0.9840774244041994,20
14,TPHATE,2.0,3,0.9880746426261816,20
15,LLE,2.0,3,0.8818276346790516,20
16,ISOMAP,2.0,3,0.9992883487616252,20
17,TSNE,2.0,3,0.918522134646565,20
18,PHATE,2.0,3,0.9895313762365108,20
19,PCA,2.0,3,0.999359590072005,20
20,UMAP,2.0,3,0.9860468904929103,20
21,TPHATE,3.0,3,0.9879581337951945,20
22,LLE,3.0,3,0.8943428136610201,20
23,ISOMAP,3.0,3,0.9988701492385195,20
24,TSNE,3.0,3,0.9287808580380188,20
25,PHATE,3.0,3,0.9887854363217533,20
26,PCA,3.0,3,0.9992530254196645,20
27,UMAP,3.0,3,0.9909549246298046,20
28,TPHATE,5.0,3,0.9902603250165071,20
29,LLE,5.0,3,0.8937908231847502,20
30,ISOMAP,5.0,3,0.9958255858612003,20
31,TSNE,5.0,3,0.9123790866586042,20
32,PHATE,5.0,3,0.986938463283495,20
33,PCA,5.0,3,0.9977896876601577,20
34,UMAP,5.0,3,0.9845490011406762,20
35,TPHATE,10.0,3,0.9875099752198815,20
36,LLE,10.0,3,0.863307247182855,20
37,ISOMAP,10.0,3,0.9827561770650226,20
38,TSNE,10.0,3,0.89937101294904,20
39,PHATE,10.0,3,0.9802292296940208,20
40,PCA,10.0,3,0.990398101232106,20
41,UMAP,10.0,3,0.9756620177308655,20
42,TPHATE,20.0,3,0.9859366315655509,20
43,LLE,20.0,3,0.7651555597516072,20
44,ISOMAP,20.0,3,0.9503252247147688,20
45,TSNE,20.0,3,0.8462446686852637,20
46,PHATE,20.0,3,0.9507580874733088,20
47,PCA,20.0,3,0.9608206600432155,20
48,UMAP,20.0,3,0.9357766130191062,20
49,TPHATE,50.0,3,0.9721392987711456,20
50,LLE,50.0,3,0.6893498334180578,20
51,ISOMAP,50.0,3,0.8230434702690834,20
52,TSNE,50.0,3,0.5275464579488864,20
53,PHATE,50.0,3,0.8805578921124829,20
54,PCA,50.0,3,0.85016576206893,20
55,UMAP,50.0,3,0.8659328139845816,20
56,TPHATE,80.0,3,0.7401454190872595,20
57,LLE,80.0,3,0.3800333353049696,20
58,ISOMAP,80.0,3,0.5071951776320649,20
59,TSNE,80.0,3,0.4755983090803223,20
60,PHATE,80.0,3,0.6239301944027238,20
61,PCA,80.0,3,0.532942477982187,20
62,UMAP,80.0,3,0.5834370814503698,20
63,TPHATE,100.0,3,0.6887555612051,20
64,LLE,100.0,3,0.35108104894999903,20
65,ISOMAP,100.0,3,0.3877207547219422,20
66,TSNE,100.0,3,0.1921680767858721,20
67,PHATE,100.0,3,0.5344485782401991,20
68,PCA,100.0,3,0.537185770344977,20
69,UMAP,100.0,3,0.46409561448604403,20
70,TPHATE,0.5,4,0.9881231742664972,20
71,LLE,0.5,4,0.8847960605664283,20
72,ISOMAP,0.5,4,0.999359590072005,20
73,TSNE,0.5,4,0.9281421659634478,20
74,PHATE,0.5,4,0.9896672167532127,20
75,PCA,0.5,4,0.999359590072005,20
76,UMAP,0.5,4,0.9881481612293813,20
77,TPHATE,1.0,4,0.9880784887207217,20
78,LLE,1.0,4,0.8847882039061999,20
79,ISOMAP,1.0,4,0.999359590072005,20
80,TSNE,1.0,4,0.8703798860998648,20
81,PHATE,1.0,4,0.9891271947158736,20
82,PCA,1.0,4,0.999359590072005,20
83,UMAP,1.0,4,0.9844457765178046,20
