,method,sigma,alpha,demap,features
0,TPHATE,0.5,3,0.9880907101921881,20
1,LLE,0.5,3,0.8850502823548805,20
2,ISOMAP,0.5,3,0.999359590072005,20
3,TSNE,0.5,3,0.9179765079385638,20
4,PHATE,0.5,3,0.9889461499366985,20
5,PCA,0.5,3,0.999359590072005,20
6,UMAP,0.5,3,0.9862615126895512,20
7,TPHATE,1.0,3,0.9904623967993855,20
8,LLE,1.0,3,0.8855801324842909,20
9,ISOMAP,1.0,3,0.999359590072005,20
10,TSNE,1.0,3,0.9259271824055073,20
11,PHATE,1.0,3,0.9901491298687662,20
12,PCA,1.0,3,0.999359590072005,20
13,UMAP,1.0,3,0.9830037820526704,20
14,TPHATE,2.0,3,0.988094164086298,20
15,LLE,2.0,3,0.8791646064104391,20
16,ISOMAP,2.0,3,0.9992310242406997,20
17,TSNE,2.0,3,0.9248768949570081,20
18,PHATE,2.0,3,0.9888281988202586,20
19,PCA,2.0,3,0.9993468878387212,20
20,UMAP,2.0,3,0.9877277476715897,20
21,TPHATE,3.0,3,0.9878681301223045,20
22,LLE,3.0,3,0.8919499861854787,20
23,ISOMAP,3.0,3,0.998373218641982,20
24,TSNE,3.0,3,0.9221930547623479,20
25,PHATE,3.0,3,0.9880973902511262,20
26,PCA,3.0,3,0.9989860507914214,20
27,UMAP,3.0,3,0.983815004361596,20
28,TPHATE,5.0,3,0.9882273604130037,20
29,LLE,5.0,3,0.8971881898263662,20
30,ISOMAP,5.0,3,0.9956340402318004,20
31,TSNE,5.0,3,0.9138927525894288,20
32,PHATE,5.0,3,0.9896810070263995,20
33,PCA,5.0,3,0.997671293736781,20
34,UMAP,5.0,3,0.9804443326524791,20
35,TPHATE,10.0,3,0.9887867647425649,20
36,LLE,10.0,3,0.8652965004158447,20
37,ISOMAP,10.0,3,0.9869231168602148,20
38,TSNE,10.0,3,0.8476691026924319,20
39,PHATE,10.0,3,0.983035259300091,20
40,PCA,10.0,3,0.9912197990880027,20
41,UMAP,10.0,3,0.9828814408217391,20
42,TPHATE,20.0,3,0.9867055974410421,20
43,LLE,20.0,3,0.7654312513506996,20
44,ISOMAP,20.0,3,0.8953400022319372,20
45,TSNE,20.0,3,0.8707814107788787,20
46,PHATE,20.0,3,0.9324652521363188,20
47,PCA,20.0,3,0.955451107213132,20
48,UMAP,20.0,3,0.9428836896642023,20
49,TPHATE,50.0,3,0.9447194660127632,20
50,LLE,50.0,3,0.5531925452847946,20
51,ISOMAP,50.0,3,0.7594678311597151,20
52,TSNE,50.0,3,0.6793337176216752,20
53,PHATE,50.0,3,0.8349852775255293,20
54,PCA,50.0,3,0.7747302602897488,20
55,UMAP,50.0,3,0.7805875080288228,20
56,TPHATE,80.0,3,0.7367547325045819,20
57,LLE,80.0,3,0.3907841057650249,20
58,ISOMAP,80.0,3,0.49739481002710617,20
59,TSNE,80.0,3,0.3240643855821114,20
60,PHATE,80.0,3,0.599471019432877,20
61,PCA,80.0,3,0.555986998652364,20
62,UMAP,80.0,3,0.5606707827046404,20
63,TPHATE,100.0,3,0.7184576335693683,20
64,LLE,100.0,3,0.4022666463178478,20
65,ISOMAP,100.0,3,0.47604220405741154,20
66,TSNE,100.0,3,0.3764751538353945,20
67,PHATE,100.0,3,0.4951344324322907,20
68,PCA,100.0,3,0.46258475721636383,20
69,UMAP,100.0,3,0.49728219789716627,20
70,TPHATE,0.5,4,0.9883233609569858,20
71,LLE,0.5,4,0.8872248313136426,20
72,ISOMAP,0.5,4,0.999359590072005,20
73,TSNE,0.5,4,0.895300288775485,20
74,PHATE,0.5,4,0.9910369704294518,20
75,PCA,0.5,4,0.999359590072005,20
76,UMAP,0.5,4,0.9891208689024854,20
77,TPHATE,1.0,4,0.9881847117791395,20
78,LLE,1.0,4,0.8841841646373706,20
79,ISOMAP,1.0,4,0.999359590072005,20
80,TSNE,1.0,4,0.9234945149572459,20
81,PHATE,1.0,4,0.9897256166624143,20
82,PCA,1.0,4,0.999359590072005,20
83,UMAP,1.0,4,0.9885285956465584,20
84,TPHATE,2.0,4,0.9880666721013122,20
85,LLE,2.0,4,0.8813512629760264,20
86,ISOMAP,2.0,4,0.9993586158967431,20
87,TSNE,2.0,4,0.9226247029647171,20
88,PHATE,2.0,4,0.9884120235574373,20
89,PCA,2.0,4,0.999359590072005,20
90,UMAP,2.0,4,0.9859945001064276,20
91,TPHATE,3.0,4,0.9880641038210766,20
92,LLE,3.0,4,0.8835124265136586,20
93,ISOMAP,3.0,4,0.999213957196178,20
94,TSNE,3.0,4,0.9121693859447794,20
95,PHATE,3.0,4,0.9873051074274856,20
96,PCA,3.0,4,0.999359590072005,20
97,UMAP,3.0,4,0.9816958189216091,20
98,TPHATE,5.0,4,0.9881173292149263,20
99,LLE,5.0,4,0.8849162004143004,20
100,ISOMAP,5.0,4,0.9981770045623013,20
101,TSNE,5.0,4,0.8665221014565894,20
102,PHATE,5.0,4,0.9896751240199483,20
103,PCA,5.0,4,0.9986064640332384,20
104,UMAP,5.0,4,0.9841373298569873,20
105,TPHATE,10.0,4,0.9881421770099159,20
106,LLE,10.0,4,0.8885662959524088,20
107,ISOMAP,10.0,4,0.9909155401156485,20
108,TSNE,10.0,4,0.8799084208518981,20
109,PHATE,10.0,4,0.9796727605418719,20
110,PCA,10.0,4,0.9941739033338681,20
111,UMAP,10.0,4,0.9861996462346128,20
112,TPHATE,20.0,4,0.9891374551851898,20
113,LLE,20.0,4,0.7983140059447779,20
114,ISOMAP,20.0,4,0.9681466224831764,20
115,TSNE,20.0,4,0.910093013609805,20
116,PHATE,20.0,4,0.9489733857420457,20
117,PCA,20.0,4,0.9813489619218976,20
118,UMAP,20.0,4,0.9627227562193402,20
119,TPHATE,50.0,4,0.9795960790319781,20
120,LLE,50.0,4,0.6971063686721118,20
121,ISOMAP,50.0,4,0.8428776532962853,20
122,TSNE,50.0,4,0.7956508511598976,20
123,PHATE,50.0,4,0.8755514915773993,20
124,PCA,50.0,4,0.896882336749038,20
125,UMAP,50.0,4,0.8630798594947964,20
126,TPHATE,80.0,4,0.8961435323517826,20
127,LLE,80.0,4,0.5039521861403791,20
128,ISOMAP,80.0,4,0.6805740578076148,20
129,TSNE,80.0,4,0.6029995201860339,20
130,PHATE,80.0,4,0.6994458062826554,20
131,PCA,80.0,4,0.6957527711232667,20
132,UMAP,80.0,4,0.636032588757847,20
133,TPHATE,100.0,4,0.8171336676723787,20
134,LLE,100.0,4,0.4741337947195254,20
135,ISOMAP,100.0,4,0.6614508962052664,20
136,TSNE,100.0,4,0.291899712020628,20
137,PHATE,100.0,4,0.7021941697738772,20
138,PCA,100.0,4,0.6666082306477967,20
139,UMAP,100.0,4,0.6377446574997846,20
140,TPHATE,0.5,5,0.9882300931643876,20
141,LLE,0.5,5,0.8838963907347064,20
142,ISOMAP,0.5,5,0.999359590072005,20
143,TSNE,0.5,5,0.9268289271040205,20
144,PHATE,0.5,5,0.9913009213188952,20
145,PCA,0.5,5,0.999359590072005,20
146,UMAP,0.5,5,0.9881008314936095,20
147,TPHATE,1.0,5,0.9881545123460233,20
148,LLE,1.0,5,0.888739003309538,20
149,ISOMAP,1.0,5,0.999359590072005,20
150,TSNE,1.0,5,0.9207897616235236,20
151,PHATE,1.0,5,0.9897256925721749,20
152,PCA,1.0,5,0.999359590072005,20
153,UMAP,1.0,5,0.9923147847339042,20
154,TPHATE,2.0,5,0.9881328780642349,20
155,LLE,2.0,5,0.8817934120286205,20
156,ISOMAP,2.0,5,0.999359590072005,20
157,TSNE,2.0,5,0.3641440054165207,20
158,PHATE,2.0,5,0.9896313873461811,20
159,PCA,2.0,5,0.999359590072005,20
160,UMAP,2.0,5,0.9905246807580075,20
161,TPHATE,3.0,5,0.9898821425888964,20
162,LLE,3.0,5,0.8868271653807954,20
163,ISOMAP,3.0,5,0.9992365276983476,20
164,TSNE,3.0,5,0.8619357349304939,20
165,PHATE,3.0,5,0.9884370864300821,20
166,PCA,3.0,5,0.9993569964885157,20
167,UMAP,3.0,5,0.9873503369932123,20
168,TPHATE,5.0,5,0.9882551939919128,20
169,LLE,5.0,5,0.8905348384723648,20
170,ISOMAP,5.0,5,0.9983451573337913,20
171,TSNE,5.0,5,0.9202881878799591,20
172,PHATE,5.0,5,0.9881812831882827,20
173,PCA,5.0,5,0.9991293684195485,20
174,UMAP,5.0,5,0.9889430249848845,20
175,TPHATE,10.0,5,0.9878828819191263,20
176,LLE,10.0,5,0.893929738046759,20
177,ISOMAP,10.0,5,0.9948676679397983,20
178,TSNE,10.0,5,0.4364515569462971,20
179,PHATE,10.0,5,0.9857131405785394,20
180,PCA,10.0,5,0.9978028833068859,20
181,UMAP,10.0,5,0.9899980947483052,20
182,TPHATE,20.0,5,0.9890286764981633,20
183,LLE,20.0,5,0.8547819358277113,20
184,ISOMAP,20.0,5,0.9845011020816995,20
185,TSNE,20.0,5,0.9242263483081474,20
186,PHATE,20.0,5,0.9849454651689794,20
187,PCA,20.0,5,0.9913251238809192,20
188,UMAP,20.0,5,0.9805387390914874,20
189,TPHATE,50.0,5,0.9896133967329045,20
190,LLE,50.0,5,0.7743233207144745,20
191,ISOMAP,50.0,5,0.8939626322763786,20
192,TSNE,50.0,5,0.8546913881348702,20
193,PHATE,50.0,5,0.9256462403813027,20
194,PCA,50.0,5,0.9134734017682864,20
195,UMAP,50.0,5,0.921136909610651,20
196,TPHATE,80.0,5,0.9746703326175963,20
197,LLE,80.0,5,0.598772194176236,20
198,ISOMAP,80.0,5,0.7434224181517213,20
199,TSNE,80.0,5,0.5355026358734778,20
200,PHATE,80.0,5,0.8406928185649539,20
201,PCA,80.0,5,0.7873568241938598,20
202,UMAP,80.0,5,0.8313629396565692,20
203,TPHATE,100.0,5,0.8213292507505936,20
204,LLE,100.0,5,0.38893422285260804,20
205,ISOMAP,100.0,5,0.5515047170597611,20
206,TSNE,100.0,5,0.6237278695873099,20
207,PHATE,100.0,5,0.6441815015647554,20
208,PCA,100.0,5,0.6488668164638716,20
209,UMAP,100.0,5,0.5960571803731979,20
210,TPHATE,0.5,6,0.9881208463671702,20
211,LLE,0.5,6,0.8857495504184584,20
212,ISOMAP,0.5,6,0.999359590072005,20
213,TSNE,0.5,6,0.9250136210875844,20
214,PHATE,0.5,6,0.9900784325783377,20
215,PCA,0.5,6,0.999359590072005,20
216,UMAP,0.5,6,0.9941476638599331,20
217,TPHATE,1.0,6,0.9881884440090385,20
218,LLE,1.0,6,0.8841034599101616,20
219,ISOMAP,1.0,6,0.999359590072005,20
220,TSNE,1.0,6,0.9207811332140617,20
221,PHATE,1.0,6,0.9899678573603088,20
222,PCA,1.0,6,0.999359590072005,20
223,UMAP,1.0,6,0.9888769708414831,20
224,TPHATE,2.0,6,0.9881565619095609,20
225,LLE,2.0,6,0.8825991941380321,20
226,ISOMAP,2.0,6,0.999359590072005,20
227,TSNE,2.0,6,0.9314587140132136,20
228,PHATE,2.0,6,0.9893639825626275,20
229,PCA,2.0,6,0.999359590072005,20
230,UMAP,2.0,6,0.9898737292570898,20
231,TPHATE,3.0,6,0.9880454426715808,20
232,LLE,3.0,6,0.876039275047777,20
233,ISOMAP,3.0,6,0.9993513538629735,20
234,TSNE,3.0,6,0.9314648500522004,20
235,PHATE,3.0,6,0.9899195407976483,20
236,PCA,3.0,6,0.999359590072005,20
237,UMAP,3.0,6,0.9764838547546567,20
238,TPHATE,5.0,6,0.9880607511399807,20
239,LLE,5.0,6,0.8840942495258681,20
240,ISOMAP,5.0,6,0.9990911099001756,20
241,TSNE,5.0,6,0.9272395736059404,20
242,PHATE,5.0,6,0.9879196855014198,20
243,PCA,5.0,6,0.9992845026670851,20
244,UMAP,5.0,6,0.9911572494452183,20
245,TPHATE,10.0,6,0.9879503656963534,20
246,LLE,10.0,6,0.8893716099516293,20
