,Unnamed: 0,method,sigma,alpha,rho
70,70,LLE,0.5,4,0.886660568759399
71,71,ISOMAP,0.5,4,0.9993595900720049
72,72,TSNE,0.5,4,0.923969469678072
73,73,PHATE,0.5,4,0.9907883153567816
74,74,PCA,0.5,4,0.9993595900720049
75,75,UMAP,0.5,4,0.9906180371119933
76,76,TPHATE,0.5,4,0.9881964145339078
77,77,LLE,1.0,4,0.8834983452530563
78,78,ISOMAP,1.0,4,0.9993595900720049
79,79,TSNE,1.0,4,0.9276105952127957
80,80,PHATE,1.0,4,0.9901921833546876
81,81,PCA,1.0,4,0.9993595900720049
82,82,UMAP,1.0,4,0.985247611319662
83,83,TPHATE,1.0,4,0.9881661644942846
84,84,LLE,2.0,4,0.8845303637524896
85,85,ISOMAP,2.0,4,0.9993595900720049
86,86,TSNE,2.0,4,0.922554043629169
87,87,PHATE,2.0,4,0.9891141255854132
88,88,PCA,2.0,4,0.9993595900720049
89,89,UMAP,2.0,4,0.9839150534261464
90,90,TPHATE,2.0,4,0.9881199227984157
91,91,LLE,3.0,4,0.8891071403454881
92,92,ISOMAP,3.0,4,0.9992643106707492
93,93,TSNE,3.0,4,0.9211136179657552
94,94,PHATE,3.0,4,0.988710032626164
95,95,PCA,3.0,4,0.9993558957969862
96,96,UMAP,3.0,4,0.9859397691689916
97,97,TPHATE,3.0,4,0.9880861556065486
98,98,LLE,5.0,4,0.8942017606740861
99,99,ISOMAP,5.0,4,0.9979902665510764
100,100,TSNE,5.0,4,0.9272731889782864
101,101,PHATE,5.0,4,0.9856113708927472
102,102,PCA,5.0,4,0.9986709367232928
103,103,UMAP,5.0,4,0.9863668121792141
104,104,TPHATE,5.0,4,0.988196515746922
105,105,LLE,10.0,4,0.8672082118283196
106,106,ISOMAP,10.0,4,0.9920740242763424
107,107,TSNE,10.0,4,0.91833229698678
108,108,PHATE,10.0,4,0.9842036117296707
109,109,PCA,10.0,4,0.996061184455037
110,110,UMAP,10.0,4,0.987692259858481
111,111,TPHATE,10.0,4,0.9884446141480144
112,112,LLE,20.0,4,0.8720254072849568
113,113,ISOMAP,20.0,4,0.9718591791026816
114,114,TSNE,20.0,4,0.8923169339685119
115,115,PHATE,20.0,4,0.9791022607356278
116,116,PCA,20.0,4,0.9801981319954036
117,117,UMAP,20.0,4,0.9686388593261795
118,118,TPHATE,20.0,4,0.9878235837444236
119,119,LLE,50.0,4,0.7130251768509506
120,120,ISOMAP,50.0,4,0.844969599783822
121,121,TSNE,50.0,4,0.7602552684103003
122,122,PHATE,50.0,4,0.8678934239345487
123,123,PCA,50.0,4,0.8970414562590092
124,124,UMAP,50.0,4,0.8719825435734372
125,125,TPHATE,50.0,4,0.9832058285322952
126,126,LLE,80.0,4,0.4582918957798625
127,127,ISOMAP,80.0,4,0.5896657176934754
128,128,TSNE,80.0,4,0.6166523714026485
129,129,PHATE,80.0,4,0.6874320871796105
130,130,PCA,80.0,4,0.6924756328909104
131,131,UMAP,80.0,4,0.6922330126442127
132,132,TPHATE,80.0,4,0.8551660898231608
133,133,LLE,100.0,4,0.4093792264205918
134,134,ISOMAP,100.0,4,0.541372168342152
135,135,TSNE,100.0,4,0.4682617066222423
136,136,PHATE,100.0,4,0.6324548478732749
137,137,PCA,100.0,4,0.6631040589729315
138,138,UMAP,100.0,4,0.5985128611305661
139,139,TPHATE,100.0,4,0.7840576847825389
140,140,LLE,0.5,5,0.8840810032726328
141,141,ISOMAP,0.5,5,0.9993595900720049
142,142,TSNE,0.5,5,0.9260689438835408
143,143,PHATE,0.5,5,0.9910643485497967
144,144,PCA,0.5,5,0.9993595900720049
145,145,UMAP,0.5,5,0.9913546401261892
146,146,TPHATE,0.5,5,0.9882022469338518
147,147,LLE,1.0,5,0.8810557968842823
148,148,ISOMAP,1.0,5,0.9993595900720049
149,149,TSNE,1.0,5,0.6085726756458357
150,150,PHATE,1.0,5,0.9879869162461116
151,151,PCA,1.0,5,0.9993595900720049
152,152,UMAP,1.0,5,0.9862692554851384
153,153,TPHATE,1.0,5,0.9880339802977208
154,154,LLE,2.0,5,0.8870116767057077
155,155,ISOMAP,2.0,5,0.9993595900720049
156,156,TSNE,2.0,5,0.9182530598482768
157,157,PHATE,2.0,5,0.9882370768623684
158,158,PCA,2.0,5,0.9993595900720049
159,159,UMAP,2.0,5,0.9799261599745837
160,160,TPHATE,2.0,5,0.9880328036964308
161,161,LLE,3.0,5,0.8826749141242909
162,162,ISOMAP,3.0,5,0.9992701430706934
163,163,TSNE,3.0,5,0.9236640973625616
164,164,PHATE,3.0,5,0.988177588913264
165,165,PCA,3.0,5,0.9993578694507634
166,166,UMAP,3.0,5,0.9857529299447524
167,167,TPHATE,3.0,5,0.9880234794474964
