,subject,ROI,dataset,CV_M,CV_K,embed_method
286,1,pmc_nn,forrest,3,111,PCA
287,2,pmc_nn,forrest,3,114,PCA
288,3,pmc_nn,forrest,3,106,PCA
289,4,pmc_nn,forrest,3,111,PCA
290,6,pmc_nn,forrest,3,114,PCA
291,9,pmc_nn,forrest,3,109,PCA
292,10,pmc_nn,forrest,3,106,PCA
293,14,pmc_nn,forrest,3,108,PCA
294,15,pmc_nn,forrest,3,109,PCA
295,16,pmc_nn,forrest,3,112,PCA
296,17,pmc_nn,forrest,3,110,PCA
297,18,pmc_nn,forrest,3,114,PCA
298,19,pmc_nn,forrest,3,114,PCA
299,20,pmc_nn,forrest,3,102,PCA
628,1,pmc_nn,forrest,3,111,UMAP
629,2,pmc_nn,forrest,3,114,UMAP
630,3,pmc_nn,forrest,3,106,UMAP
631,4,pmc_nn,forrest,3,111,UMAP
632,6,pmc_nn,forrest,3,114,UMAP
633,9,pmc_nn,forrest,3,109,UMAP
634,10,pmc_nn,forrest,3,106,UMAP
635,14,pmc_nn,forrest,3,108,UMAP
636,15,pmc_nn,forrest,3,109,UMAP
637,16,pmc_nn,forrest,3,112,UMAP
638,17,pmc_nn,forrest,3,110,UMAP
639,18,pmc_nn,forrest,3,114,UMAP
640,19,pmc_nn,forrest,3,114,UMAP
641,20,pmc_nn,forrest,3,102,UMAP
496,1,pmc_nn,forrest,3,111,PHATE
497,2,pmc_nn,forrest,3,114,PHATE
498,3,pmc_nn,forrest,3,106,PHATE
499,4,pmc_nn,forrest,3,111,PHATE
500,6,pmc_nn,forrest,3,114,PHATE
501,9,pmc_nn,forrest,3,109,PHATE
502,10,pmc_nn,forrest,3,106,PHATE
503,14,pmc_nn,forrest,3,108,PHATE
504,15,pmc_nn,forrest,3,109,PHATE
505,16,pmc_nn,forrest,3,112,PHATE
506,17,pmc_nn,forrest,3,110,PHATE
507,18,pmc_nn,forrest,3,114,PHATE
508,19,pmc_nn,forrest,3,114,PHATE
509,20,pmc_nn,forrest,3,102,PHATE
944,1,pmc_nn,forrest,3,111,TPHATE
945,2,pmc_nn,forrest,3,114,TPHATE
946,3,pmc_nn,forrest,3,106,TPHATE
947,4,pmc_nn,forrest,3,111,TPHATE
948,6,pmc_nn,forrest,3,114,TPHATE
949,9,pmc_nn,forrest,3,109,TPHATE
950,10,pmc_nn,forrest,3,106,TPHATE
951,14,pmc_nn,forrest,3,108,TPHATE
952,15,pmc_nn,forrest,3,109,TPHATE
953,16,pmc_nn,forrest,3,112,TPHATE
954,17,pmc_nn,forrest,3,110,TPHATE
955,18,pmc_nn,forrest,3,114,TPHATE
956,19,pmc_nn,forrest,3,114,TPHATE
957,20,pmc_nn,forrest,3,102,TPHATE
1184,1,pmc_nn,sherlock,3,25,PCA
1185,2,pmc_nn,sherlock,3,22,PCA
1186,3,pmc_nn,sherlock,3,21,PCA
1187,4,pmc_nn,sherlock,3,24,PCA
1188,5,pmc_nn,sherlock,3,23,PCA
1189,6,pmc_nn,sherlock,3,26,PCA
1190,7,pmc_nn,sherlock,3,23,PCA
1191,8,pmc_nn,sherlock,3,25,PCA
1192,9,pmc_nn,sherlock,3,23,PCA
1193,10,pmc_nn,sherlock,3,26,PCA
1194,11,pmc_nn,sherlock,3,23,PCA
1195,12,pmc_nn,sherlock,3,24,PCA
1196,13,pmc_nn,sherlock,3,24,PCA
1197,14,pmc_nn,sherlock,3,24,PCA
1198,15,pmc_nn,sherlock,3,23,PCA
1199,16,pmc_nn,sherlock,3,23,PCA
674,1,pmc_nn,sherlock,5,25,UMAP
675,2,pmc_nn,sherlock,5,22,UMAP
676,3,pmc_nn,sherlock,5,21,UMAP
677,4,pmc_nn,sherlock,5,24,UMAP
678,5,pmc_nn,sherlock,5,23,UMAP
679,6,pmc_nn,sherlock,5,26,UMAP
680,7,pmc_nn,sherlock,5,23,UMAP
681,8,pmc_nn,sherlock,5,25,UMAP
682,9,pmc_nn,sherlock,5,23,UMAP
683,10,pmc_nn,sherlock,5,26,UMAP
684,11,pmc_nn,sherlock,5,23,UMAP
685,12,pmc_nn,sherlock,5,24,UMAP
686,13,pmc_nn,sherlock,5,24,UMAP
687,14,pmc_nn,sherlock,5,24,UMAP
688,15,pmc_nn,sherlock,5,23,UMAP
689,16,pmc_nn,sherlock,5,23,UMAP
720,1,pmc_nn,sherlock,3,25,PHATE
721,2,pmc_nn,sherlock,3,22,PHATE
722,3,pmc_nn,sherlock,3,21,PHATE
723,4,pmc_nn,sherlock,3,24,PHATE
724,5,pmc_nn,sherlock,3,23,PHATE
725,6,pmc_nn,sherlock,3,26,PHATE
726,7,pmc_nn,sherlock,3,23,PHATE
727,8,pmc_nn,sherlock,3,25,PHATE
728,9,pmc_nn,sherlock,3,23,PHATE
729,10,pmc_nn,sherlock,3,26,PHATE
730,11,pmc_nn,sherlock,3,23,PHATE
731,12,pmc_nn,sherlock,3,24,PHATE
732,13,pmc_nn,sherlock,3,24,PHATE
733,14,pmc_nn,sherlock,3,24,PHATE
734,15,pmc_nn,sherlock,3,23,PHATE
735,16,pmc_nn,sherlock,3,23,PHATE
240,1,pmc_nn,sherlock,4,25,TPHATE
241,2,pmc_nn,sherlock,4,22,TPHATE
242,3,pmc_nn,sherlock,4,21,TPHATE
243,4,pmc_nn,sherlock,6,24,TPHATE
244,5,pmc_nn,sherlock,4,23,TPHATE
245,6,pmc_nn,sherlock,4,26,TPHATE
246,7,pmc_nn,sherlock,4,23,TPHATE
247,8,pmc_nn,sherlock,4,25,TPHATE
248,9,pmc_nn,sherlock,4,23,TPHATE
249,10,pmc_nn,sherlock,4,26,TPHATE
250,11,pmc_nn,sherlock,4,23,TPHATE
251,12,pmc_nn,sherlock,4,24,TPHATE
252,13,pmc_nn,sherlock,4,24,TPHATE
253,14,pmc_nn,sherlock,4,24,TPHATE
254,15,pmc_nn,sherlock,4,23,TPHATE
255,16,pmc_nn,sherlock,4,23,TPHATE
1140,1,high_Visual,forrest,3,69,PCA
1141,2,high_Visual,forrest,3,67,PCA
1142,3,high_Visual,forrest,3,74,PCA
1143,4,high_Visual,forrest,3,74,PCA
1144,6,high_Visual,forrest,3,67,PCA
1145,9,high_Visual,forrest,3,70,PCA
1146,10,high_Visual,forrest,3,68,PCA
1147,14,high_Visual,forrest,3,71,PCA
1148,15,high_Visual,forrest,3,72,PCA
1149,16,high_Visual,forrest,3,69,PCA
1150,17,high_Visual,forrest,3,66,PCA
1151,18,high_Visual,forrest,3,71,PCA
1152,19,high_Visual,forrest,3,68,PCA
1153,20,high_Visual,forrest,3,71,PCA
420,1,high_Visual,forrest,5,69,UMAP
421,2,high_Visual,forrest,5,67,UMAP
422,3,high_Visual,forrest,6,74,UMAP
423,4,high_Visual,forrest,5,74,UMAP
424,6,high_Visual,forrest,5,67,UMAP
425,9,high_Visual,forrest,5,70,UMAP
426,10,high_Visual,forrest,6,68,UMAP
427,14,high_Visual,forrest,5,71,UMAP
428,15,high_Visual,forrest,6,72,UMAP
429,16,high_Visual,forrest,4,69,UMAP
430,17,high_Visual,forrest,5,66,UMAP
431,18,high_Visual,forrest,5,71,UMAP
432,19,high_Visual,forrest,5,68,UMAP
433,20,high_Visual,forrest,6,71,UMAP
150,1,high_Visual,forrest,3,69,PHATE
151,2,high_Visual,forrest,3,67,PHATE
152,3,high_Visual,forrest,3,74,PHATE
153,4,high_Visual,forrest,3,74,PHATE
154,6,high_Visual,forrest,3,67,PHATE
155,9,high_Visual,forrest,3,70,PHATE
156,10,high_Visual,forrest,3,68,PHATE
157,14,high_Visual,forrest,3,71,PHATE
158,15,high_Visual,forrest,3,72,PHATE
159,16,high_Visual,forrest,3,69,PHATE
160,17,high_Visual,forrest,3,66,PHATE
161,18,high_Visual,forrest,3,71,PHATE
162,19,high_Visual,forrest,3,68,PHATE
163,20,high_Visual,forrest,3,71,PHATE
902,1,high_Visual,forrest,4,69,TPHATE
903,2,high_Visual,forrest,4,67,TPHATE
904,3,high_Visual,forrest,4,74,TPHATE
905,4,high_Visual,forrest,4,74,TPHATE
906,6,high_Visual,forrest,4,67,TPHATE
907,9,high_Visual,forrest,4,70,TPHATE
908,10,high_Visual,forrest,3,68,TPHATE
909,14,high_Visual,forrest,4,71,TPHATE
910,15,high_Visual,forrest,4,72,TPHATE
911,16,high_Visual,forrest,4,69,TPHATE
912,17,high_Visual,forrest,4,66,TPHATE
913,18,high_Visual,forrest,4,71,TPHATE
914,19,high_Visual,forrest,4,68,TPHATE
915,20,high_Visual,forrest,4,71,TPHATE
256,1,high_Visual,sherlock,3,19,PCA
257,2,high_Visual,sherlock,3,21,PCA
258,3,high_Visual,sherlock,3,21,PCA
259,4,high_Visual,sherlock,3,22,PCA
260,5,high_Visual,sherlock,3,21,PCA
261,6,high_Visual,sherlock,3,19,PCA
262,7,high_Visual,sherlock,3,22,PCA
263,8,high_Visual,sherlock,3,20,PCA
264,9,high_Visual,sherlock,3,21,PCA
265,10,high_Visual,sherlock,3,22,PCA
266,11,high_Visual,sherlock,3,22,PCA
267,12,high_Visual,sherlock,3,21,PCA
268,13,high_Visual,sherlock,3,19,PCA
269,14,high_Visual,sherlock,3,22,PCA
270,15,high_Visual,sherlock,3,21,PCA
271,16,high_Visual,sherlock,3,20,PCA
840,1,high_Visual,sherlock,4,19,UMAP
841,2,high_Visual,sherlock,4,21,UMAP
842,3,high_Visual,sherlock,4,21,UMAP
843,4,high_Visual,sherlock,4,22,UMAP
844,5,high_Visual,sherlock,4,21,UMAP
845,6,high_Visual,sherlock,4,19,UMAP
846,7,high_Visual,sherlock,4,22,UMAP
847,8,high_Visual,sherlock,4,20,UMAP
848,9,high_Visual,sherlock,4,21,UMAP
849,10,high_Visual,sherlock,4,22,UMAP
850,11,high_Visual,sherlock,4,22,UMAP
851,12,high_Visual,sherlock,4,21,UMAP
852,13,high_Visual,sherlock,4,19,UMAP
