,subject,ROI,dataset,avg_difference,embed_method,model_LogLikelihood,AIC
0,20,pmc_nn,forrest,0.013197252502087456,PHATE_TIME,4173.760612278382,16736.478775443236
1,20,pmc_nn,forrest,0.10369157581313747,PHATE_TIME,4745.064233300462,16955.871533399077
2,20,pmc_nn,forrest,0.007079827652482283,PHATE_TIME,6182.856353929433,10528.287292141136
3,20,pmc_nn,forrest,0.01666932671475111,PHATE_TIME,6547.516966553849,11988.966066892302
4,20,pmc_nn,forrest,0.015202396688354278,PHATE_TIME,7338.656219146229,11768.687561707542
5,20,pmc_nn,forrest,0.060147822965251264,PHATE_TIME,5361.9112116012,13472.1775767976
6,20,pmc_nn,forrest,0.018357488692311318,PHATE_TIME,6605.027409452876,9683.945181094248
7,20,pmc_nn,forrest,0.029716518296272136,PHATE_TIME,6361.852627620464,11034.294744759072
8,20,pmc_nn,forrest,0.05688407943171767,PHATE_TIME,6160.784233186421,11874.431533627157
9,20,pmc_nn,forrest,0.01825118994345739,PHATE_TIME,6997.2942348028055,11539.411530394389
10,20,pmc_nn,forrest,0.012843273402147031,PHATE_TIME,7318.414925327226,10001.170149345548
11,20,pmc_nn,forrest,0.05763550945760569,PHATE_TIME,6785.930026689196,12874.139946621608
12,20,pmc_nn,forrest,0.019946034350656745,PHATE_TIME,6301.454804109317,13843.090391781367
13,20,pmc_nn,forrest,0.044064807328333,PHATE_TIME,5359.055219139382,10495.889561721237
0,16,pmc_nn,sherlock,0.3308017305468333,SMOOTH_PHATE,-2073.5623780401306,5495.124756080261
1,16,pmc_nn,sherlock,0.555830220389533,SMOOTH_PHATE,-2084.195317542234,5222.390635084468
2,16,pmc_nn,sherlock,0.4752221476197449,SMOOTH_PHATE,-1757.3083595266198,4478.61671905324
3,16,pmc_nn,sherlock,0.20730494231580013,SMOOTH_PHATE,694.0268458797577,-142.0536917595155
4,16,pmc_nn,sherlock,0.4835840868885139,SMOOTH_PHATE,-1805.935024382785,4759.87004876557
5,16,pmc_nn,sherlock,0.713249545967681,SMOOTH_PHATE,-1643.0842498922073,4740.168499784415
6,16,pmc_nn,sherlock,0.2489128571895452,SMOOTH_PHATE,62.73577506246272,1022.5284498750747
7,16,pmc_nn,sherlock,0.4737256555514591,SMOOTH_PHATE,-853.9358604527167,3055.8717209054325
8,16,pmc_nn,sherlock,0.7371909197841623,SMOOTH_PHATE,-1776.5114566484867,4701.0229132969735
9,16,pmc_nn,sherlock,0.3797921996888797,SMOOTH_PHATE,-2450.1598381826125,6354.319676365225
10,16,pmc_nn,sherlock,0.6280968170096564,SMOOTH_PHATE,-1837.2973992016848,4822.59479840337
11,16,pmc_nn,sherlock,0.27802068495908594,SMOOTH_PHATE,41.534286922235296,1162.9314261555294
12,16,pmc_nn,sherlock,0.14792193035099294,SMOOTH_PHATE,-2740.7968241741487,6727.593648348298
13,16,pmc_nn,sherlock,0.5579291789453612,SMOOTH_PHATE,-2092.851328398759,5431.702656797518
14,16,pmc_nn,sherlock,0.5280437857256071,SMOOTH_PHATE,-1122.663127531712,3393.326255063424
15,16,pmc_nn,sherlock,0.5600207244731776,SMOOTH_PHATE,-898.5083224067943,2945.0166448135883
0,20,pmc_nn,forrest,0.045893774977374346,PCA,-5459.219559402136,36002.439118804265
1,20,pmc_nn,forrest,0.054329313778533776,PCA,-5439.860598887268,37325.72119777453
2,20,pmc_nn,forrest,0.01903029350461603,PCA,-5494.578980939991,33883.15796187998
3,20,pmc_nn,forrest,0.022085480960712917,PCA,-5463.59755192295,36011.1951038459
