,subject,ROI,dataset,difference_score,embed_method,CV_K,model_LogLikelihood,AIC,neg_LL
0,1,pmc_nn,sherlock,0.107370854,ISOMAP,25,-2831.984417,7011.968833,2831.984417
1,2,pmc_nn,sherlock,0.069219752,ISOMAP,22,-2861.997987,6777.995975,2861.997987
2,3,pmc_nn,sherlock,0.086312372,ISOMAP,21,-2846.593722,6657.187444,2846.593722
3,4,pmc_nn,sherlock,0.11780649,ISOMAP,24,-2846.153761,6938.307522,2846.153761
4,5,pmc_nn,sherlock,0.089996149,ISOMAP,23,-2884.049689,6916.099379,2884.049689
5,6,pmc_nn,sherlock,0.105958631,ISOMAP,26,-2841.187144,7136.374287999999,2841.187144
6,7,pmc_nn,sherlock,0.09532775800000001,ISOMAP,23,-2789.881677,6727.763355,2789.881677
7,8,pmc_nn,sherlock,0.12645653099999998,ISOMAP,25,-2828.523012,7005.046023000001,2828.523012
8,9,pmc_nn,sherlock,0.10295766,ISOMAP,23,-2830.54516,6809.090319,2830.54516
9,10,pmc_nn,sherlock,0.11059266699999999,ISOMAP,26,-2889.911824,7233.823648999999,2889.911824
10,11,pmc_nn,sherlock,0.09510409800000001,ISOMAP,23,-2865.9732289999997,6879.9464590000025,2865.9732289999997
11,12,pmc_nn,sherlock,0.100180391,ISOMAP,24,-2859.617903000001,6965.235806000002,2859.617903000001
12,13,pmc_nn,sherlock,0.078934714,ISOMAP,24,-2887.340207,7020.680414,2887.340207
13,14,pmc_nn,sherlock,0.11410662699999999,ISOMAP,24,-2820.6104609999998,6887.2209219999995,2820.6104609999998
14,15,pmc_nn,sherlock,0.127796153,ISOMAP,23,-2825.475849,6798.951698000003,2825.475849
15,16,pmc_nn,sherlock,0.069339704,ISOMAP,23,-2900.314201,6948.628403,2900.314201
16,1,early_visual,forrest,0.095855682,TPHATE,102,-5564.165358,32342.330719999998,5564.165358
17,2,early_visual,forrest,0.101966499,TPHATE,100,-4922.797554,30243.595110000002,4922.797554
18,3,early_visual,forrest,0.053888978,TPHATE,97,-4202.873618,27609.747239999997,4202.873618
19,4,early_visual,forrest,0.022329266,TPHATE,109,-3906.6229380000004,32009.245880000002,3906.6229380000004
20,6,early_visual,forrest,0.136434954,TPHATE,105,-5552.290711,33572.58142,5552.290711
21,9,early_visual,forrest,0.11123413,TPHATE,95,-5402.995505,29233.99101,5402.995505
22,10,early_visual,forrest,0.050587627,TPHATE,106,-4463.126377000001,31820.25275,4463.126377000001
23,14,early_visual,forrest,0.09172692199999999,TPHATE,100,-4959.670022,30317.34004,4959.670022
24,15,early_visual,forrest,0.028890145,TPHATE,100,-4051.632737,28501.26547,4051.632737
25,16,early_visual,forrest,0.142815907,TPHATE,101,-5493.394745000001,31790.78949,5493.394745000001
26,17,early_visual,forrest,0.13744109699999998,TPHATE,101,-5419.270237,31642.54047,5419.270237
27,18,early_visual,forrest,0.060994783,TPHATE,101,-4215.563259000001,29235.126519999998,4215.563259000001
28,19,early_visual,forrest,0.099838049,TPHATE,100,-5573.042265,31544.08453,5573.042265
29,20,early_visual,forrest,0.10612030900000001,TPHATE,103,-5561.2684039999995,32750.53681,5561.2684039999995
30,1,high_Visual,forrest,0.032285153999999996,TSNE,69,-4916.862426,19629.72485,4916.862426
31,2,high_Visual,forrest,0.019558084,TSNE,67,-4940.43981,19124.87962,4940.43981
32,3,high_Visual,forrest,0.010023369,TSNE,74,-4967.21355,21180.4271,4967.21355
33,4,high_Visual,forrest,0.021618991,TSNE,74,-706.4117617,12658.82352,706.4117617
34,6,high_Visual,forrest,0.03567944,TSNE,67,-4918.447345000001,19080.89469,4918.447345000001
35,9,high_Visual,forrest,0.020481938,TSNE,70,-4989.39405,20056.7881,4989.39405
36,10,high_Visual,forrest,0.02378232,TSNE,68,-4721.671771,18961.34354,4721.671771
37,14,high_Visual,forrest,0.002015069,TSNE,71,-5011.322287,20386.64457,5011.322287
38,15,high_Visual,forrest,0.002959587,TSNE,72,-5007.086233,20668.172469999998,5007.086233
39,16,high_Visual,forrest,0.057594245999999995,TSNE,69,-4896.488739,19588.97748,4896.488739
40,17,high_Visual,forrest,0.014426285,TSNE,66,-4962.369588000001,18898.73918,4962.369588000001
41,18,high_Visual,forrest,0.038998822999999995,TSNE,71,-2222.0150519999997,14808.0301,2222.0150519999997
42,19,high_Visual,forrest,0.006998988,TSNE,68,-4983.361865999998,19484.72373,4983.361865999998
43,20,high_Visual,forrest,0.030844955,TSNE,71,-4940.318409,20244.63682,4940.318409
44,1,early_visual,sherlock,0.196130854,PCA,47,-2754.311812,10112.62362,2754.311812
45,2,early_visual,sherlock,0.140578691,PCA,45,-2744.361223,9716.722446,2744.361223
46,3,early_visual,sherlock,0.183773994,PCA,47,-2748.296441,10100.59288,2748.296441
47,4,early_visual,sherlock,0.155908552,PCA,45,-2769.179487,9766.358973,2769.179487
48,5,early_visual,sherlock,0.147877447,PCA,44,-2773.523198,9593.046397,2773.523198
49,6,early_visual,sherlock,0.18686061699999998,PCA,49,-2724.854074,10445.70815,2724.854074
50,7,early_visual,sherlock,0.166273761,PCA,46,-2718.921160000001,9851.84232,2718.921160000001
51,8,early_visual,sherlock,0.217368239,PCA,47,-2700.582886,10005.16577,2700.582886
52,9,early_visual,sherlock,0.161840127,PCA,48,-2761.782210000001,10321.56442,2761.782210000001
53,10,early_visual,sherlock,0.16544740900000002,PCA,45,-2800.187712,9828.375424,2800.187712
54,11,early_visual,sherlock,0.14980827,PCA,47,-2794.214896,10192.42979,2794.214896
55,12,early_visual,sherlock,0.16983598100000002,PCA,46,-2779.5830170000013,9973.166033,2779.5830170000013
56,13,early_visual,sherlock,0.167557361,PCA,43,-2770.09523,9408.19046,2770.09523
57,14,early_visual,sherlock,0.134627103,PCA,50,-2816.5874059999996,10831.174809999999,2816.5874059999996
58,15,early_visual,sherlock,0.15434098300000001,PCA,45,-2746.2664,9720.532798999999,2746.2664
59,16,early_visual,sherlock,0.148797882,PCA,43,-2789.668237000001,9447.336473000001,2789.668237000001
60,1,aud_early,forrest,0.038084795,PCA,70,-5429.5486439999995,20937.09729,5429.5486439999995
61,2,aud_early,forrest,0.031846388999999996,PCA,71,-5406.170634,21176.341269999997,5406.170634
62,3,aud_early,forrest,0.039629118,PCA,76,-5439.790084,22733.580169999997,5439.790084
63,4,aud_early,forrest,0.03344469,PCA,75,-5424.958501,22397.917,5424.958501
64,6,aud_early,forrest,0.051988463,PCA,73,-5391.298533,21730.59707,5391.298533
65,9,aud_early,forrest,0.03541249,PCA,72,-5427.4520200000015,21508.90404,5427.4520200000015
